EMP_ID,POSITION_ID,GRADE_ID,POSITION_START_DATE,GRADE_START_DATE,POSITION_END_DATE,GRADE_END_DATE,CHANGE_REASON,GRADE_DURATION
E00013,POS001,G2,2018-03-28,2018-03-28,2023-06-30,2023-06-30,Initial Assignment,1920
E00013,POS002,G3,2023-07-01,2023-07-01,,,Normal Promotion,946
E00014,POS001,G2,2018-02-19,2018-02-19,2023-04-18,2023-04-18,Initial Assignment,1884
E00015,POS001,G2,2015-06-30,2015-06-30,2019-12-31,2019-12-31,Initial Assignment,1645
E00015,POS002,G3,2020-01-01,2020-01-01,2024-08-07,2024-06-30,Normal Promotion,1642
E00015,POS002,G4,2020-01-01,2024-07-01,2024-08-07,2024-08-07,Normal Promotion,37
E00016,POS001,G2,2017-07-22,2017-07-22,2019-02-18,2019-02-18,Initial Assignment,576
E00017,POS002,G3,2024-01-14,2024-01-14,,,Initial Assignment,749
E00018,POS001,G1,2011-07-10,2011-07-10,2014-09-13,2013-06-30,Initial Assignment,721
E00018,POS001,G2,2011-07-10,2013-07-01,2014-09-13,2014-09-13,Early Promotion,439
E00019,POS002,G3,2024-04-06,2024-04-06,,,Initial Assignment,666
E00020,POS001,G2,2012-09-01,2012-09-01,2016-12-31,2016-12-31,Initial Assignment,1582
E00020,POS002,G3,2017-01-01,2017-01-01,2022-01-03,2022-01-03,Normal Promotion,1828
E00021,POS001,G2,2017-03-23,2017-03-23,2022-12-31,2022-12-31,Initial Assignment,2109
E00021,POS002,G3,2023-01-01,2023-01-01,2024-01-23,2024-01-23,Late Promotion,387
E00022,POS001,G1,2013-08-16,2013-08-16,2023-12-31,2017-12-31,Initial Assignment,1598
E00022,POS001,G2,2013-08-16,2018-01-01,2023-12-31,2023-12-31,Normal Promotion,2190
E00022,POS002,G3,2024-01-01,2024-01-01,2025-03-12,2025-03-12,Late Promotion,436
E00023,POS001,G2,2019-01-29,2019-01-29,2022-07-06,2022-07-06,Initial Assignment,1254
E00024,POS001,G1,2015-05-06,2015-05-06,2024-11-17,2021-12-31,Initial Assignment,2431
E00024,POS001,G2,2015-05-06,2022-01-01,2024-11-17,2024-11-17,Late Promotion,1051
E00025,POS001,G2,2024-12-04,2024-12-04,,,Initial Assignment,424
E00026,POS001,G1,2012-09-02,2012-09-02,2025-01-14,2019-06-30,Initial Assignment,2492
E00026,POS001,G2,2012-09-02,2019-07-01,2025-01-14,2025-01-14,Late Promotion,2024
E00027,POS001,G2,2022-04-24,2022-04-24,2024-02-25,2024-02-25,Initial Assignment,672
E00028,POS002,G4,2023-05-18,2023-05-18,,,Initial Assignment,990
E00029,POS001,G1,2022-11-22,2022-11-22,,,Initial Assignment,1167
E00030,POS001,G1,2017-08-18,2017-08-18,2025-09-10,2022-06-30,Initial Assignment,1777
E00030,POS001,G2,2017-08-18,2022-07-01,2025-09-10,2025-09-10,Normal Promotion,1167
E00031,POS002,G3,2017-04-17,2017-04-17,2025-08-21,2020-06-30,Initial Assignment,1170
E00031,POS002,G4,2017-04-17,2020-07-01,2025-08-21,2025-08-21,Normal Promotion,1877
E00032,POS002,G3,2020-03-19,2020-03-19,2022-09-25,2022-09-25,Initial Assignment,920
E00033,POS001,G2,2018-10-20,2018-10-20,2021-02-18,2021-02-18,Initial Assignment,852
E00034,POS002,G4,2024-06-22,2024-06-22,,,Initial Assignment,589
E00035,POS002,G3,2020-01-13,2020-01-13,,2022-06-30,Initial Assignment,899
E00035,POS002,G4,2020-01-13,2022-07-01,,,Early Promotion,1311
E00036,POS001,G2,2021-04-01,2021-04-01,2024-12-31,2024-12-31,Initial Assignment,1370
E00036,POS002,G3,2025-01-01,2025-01-01,,,Normal Promotion,396
E00037,POS001,G2,2022-06-26,2022-06-26,2023-09-28,2023-09-28,Initial Assignment,459
E00038,POS001,G1,2023-01-15,2023-01-15,2024-10-01,2024-10-01,Initial Assignment,625
E00039,POS001,G2,2018-02-17,2018-02-17,2023-12-31,2023-12-31,Initial Assignment,2143
E00039,POS002,G3,2024-01-01,2024-01-01,,,Late Promotion,762
E00040,POS001,G1,2018-07-04,2018-07-04,2022-06-17,2022-06-17,Initial Assignment,1444
E00041,POS001,G2,2019-10-09,2019-10-09,2021-05-04,2021-05-04,Initial Assignment,573
E00042,POS001,G1,2018-08-10,2018-08-10,2025-12-23,2024-12-31,Initial Assignment,2335
E00042,POS001,G2,2018-08-10,2025-01-01,2025-12-23,2025-12-23,Late Promotion,356
E00043,POS001,G1,2015-04-20,2015-04-20,2017-05-17,2017-05-17,Initial Assignment,758
E00044,POS002,G3,2022-01-12,2022-01-12,,2025-06-30,Initial Assignment,1265
E00044,POS002,G4,2022-01-12,2025-07-01,,,Normal Promotion,215
E00045,POS001,G1,2023-05-10,2023-05-10,2024-11-05,2024-11-05,Initial Assignment,545
E00046,POS001,G1,2025-07-25,2025-07-25,,,Initial Assignment,191
E00047,POS001,G1,2022-12-05,2022-12-05,,,Initial Assignment,1154
E00048,POS001,G1,2015-03-15,2015-03-15,2021-05-14,2019-12-31,Initial Assignment,1752
E00048,POS001,G2,2015-03-15,2020-01-01,2021-05-14,2021-05-14,Normal Promotion,499
E00049,POS001,G1,2023-07-22,2023-07-22,,,Initial Assignment,925
E00050,POS001,G2,2015-09-25,2015-09-25,2021-06-30,2021-06-30,Initial Assignment,2105
E00050,POS002,G3,2021-07-01,2021-07-01,2023-08-07,2023-08-07,Late Promotion,767
E00051,POS001,G2,2023-06-14,2023-06-14,,,Initial Assignment,963
E00052,POS001,G2,2022-02-19,2022-02-19,,,Initial Assignment,1443
E00053,POS001,G1,2014-07-03,2014-07-03,2024-06-30,2018-06-30,Initial Assignment,1458
E00053,POS001,G2,2014-07-03,2018-07-01,2024-06-30,2024-06-30,Normal Promotion,2191
E00053,POS002,G3,2024-07-01,2024-07-01,,,Late Promotion,580
E00054,POS001,G1,2024-02-23,2024-02-23,,,Initial Assignment,709
E00055,POS001,G1,2023-05-06,2023-05-06,,,Initial Assignment,1002
E00056,POS001,G1,2016-05-27,2016-05-27,,2023-06-30,Initial Assignment,2590
E00056,POS001,G2,2016-05-27,2023-07-01,,,Late Promotion,946
E00057,POS001,G1,2014-09-29,2014-09-29,2022-01-20,2020-06-30,Initial Assignment,2101
E00057,POS001,G2,2014-09-29,2020-07-01,2022-01-20,2022-01-20,Late Promotion,568
E00058,POS001,G1,2019-08-05,2019-08-05,2020-12-19,2020-12-19,Initial Assignment,502
E00059,POS001,G2,2018-03-04,2018-03-04,2021-06-30,2021-06-30,Initial Assignment,1214
E00059,POS002,G3,2021-07-01,2021-07-01,2022-03-15,2022-03-15,Normal Promotion,257
E00060,POS002,G3,2016-11-28,2016-11-28,2023-04-19,2021-12-31,Initial Assignment,1859
E00060,POS002,G4,2016-11-28,2022-01-01,2023-04-19,2023-04-19,Normal Promotion,473
E00061,POS001,G2,2025-03-03,2025-03-03,,,Initial Assignment,335
E00062,POS001,G1,2014-01-23,2014-01-23,2019-12-31,2017-06-30,Initial Assignment,1254
E00062,POS001,G2,2014-01-23,2017-07-01,2019-12-31,2019-12-31,Normal Promotion,913
E00062,POS002,G3,2020-01-01,2020-01-01,2024-12-01,2024-12-01,Early Promotion,1796
E00063,POS002,G4,2025-08-25,2025-08-25,,,Initial Assignment,160
E00064,POS001,G1,2014-10-24,2014-10-24,2021-06-06,2020-12-31,Initial Assignment,2260
E00064,POS001,G2,2014-10-24,2021-01-01,2021-06-06,2021-06-06,Late Promotion,156
E00065,POS002,G3,2013-01-23,2013-01-23,2017-12-31,2015-06-30,Initial Assignment,888
E00065,POS002,G4,2013-01-23,2015-07-01,2017-12-31,2017-12-31,Early Promotion,914
E00065,POS003,G5,2018-01-01,2018-01-01,2025-12-10,2021-06-30,Early Promotion,1276
E00065,POS003,G6,2018-01-01,2021-07-01,2025-12-10,2025-12-10,Normal Promotion,1623
E00066,POS002,G4,2024-02-11,2024-02-11,,,Initial Assignment,721
E00067,POS001,G1,2024-02-13,2024-02-13,2026-01-26,2026-01-26,Initial Assignment,713
E00068,POS001,G2,2016-03-13,2016-03-13,2021-12-31,2021-12-31,Initial Assignment,2119
E00068,POS002,G3,2022-01-01,2022-01-01,,,Normal Promotion,1492
E00069,POS002,G3,2022-02-01,2022-02-01,2024-07-04,2024-07-04,Initial Assignment,884
E00070,POS001,G1,2016-07-22,2016-07-22,2025-12-31,2020-12-31,Initial Assignment,1623
E00070,POS001,G2,2016-07-22,2021-01-01,2025-12-31,2025-12-31,Normal Promotion,1825
E00070,POS002,G3,2026-01-01,2026-01-01,,,Normal Promotion,31
E00071,POS001,G1,2018-12-04,2018-12-04,,2024-12-31,Initial Assignment,2219
E00071,POS001,G2,2018-12-04,2025-01-01,,,Late Promotion,396
E00072,POS002,G3,2021-08-06,2021-08-06,2025-06-16,2025-06-16,Initial Assignment,1410
E00073,POS001,G2,2017-12-24,2017-12-24,2021-06-30,2021-06-30,Initial Assignment,1284
E00073,POS002,G3,2021-07-01,2021-07-01,2024-01-18,2024-01-18,Normal Promotion,931
E00074,POS002,G3,2022-08-08,2022-08-08,,,Initial Assignment,1273
E00075,POS001,G1,2015-08-24,2015-08-24,2018-12-07,2018-06-30,Initial Assignment,1041
E00075,POS001,G2,2015-08-24,2018-07-01,2018-12-07,2018-12-07,Early Promotion,159
E00076,POS001,G1,2017-09-06,2017-09-06,,2023-12-31,Initial Assignment,2307
E00076,POS001,G2,2017-09-06,2024-01-01,,,Late Promotion,762
E00077,POS002,G4,2025-05-27,2025-05-27,,,Initial Assignment,250
E00078,POS002,G3,2021-11-10,2021-11-10,2024-04-23,2024-04-23,Initial Assignment,895
E00079,POS001,G2,2014-11-11,2014-11-11,2020-12-31,2020-12-31,Initial Assignment,2242
E00079,POS002,G3,2021-01-01,2021-01-01,2024-01-03,2024-01-03,Late Promotion,1097
E00080,POS002,G3,2022-02-09,2022-02-09,2022-04-06,2022-04-06,Initial Assignment,56
E00081,POS002,G3,2014-04-07,2014-04-07,2020-12-31,2017-12-31,Initial Assignment,1364
E00081,POS002,G4,2014-04-07,2018-01-01,2020-12-31,2020-12-31,Normal Promotion,1095
E00081,POS003,G5,2021-01-01,2021-01-01,,2024-12-31,Early Promotion,1460
E00081,POS003,G6,2021-01-01,2025-01-01,,,Normal Promotion,396
E00082,POS001,G1,2019-05-14,2019-05-14,,,Initial Assignment,2455
E00083,POS001,G1,2011-08-23,2011-08-23,2023-06-13,2017-12-31,Initial Assignment,2322
E00083,POS001,G2,2011-08-23,2018-01-01,2023-06-13,2023-06-13,Late Promotion,1989
E00084,POS001,G1,2013-06-15,2013-06-15,2015-12-04,2015-12-04,Initial Assignment,902
E00085,POS001,G2,2013-07-03,2013-07-03,2014-02-25,2014-02-25,Initial Assignment,237
E00086,POS001,G1,2011-11-13,2011-11-13,2019-06-30,2016-06-30,Initial Assignment,1691
E00086,POS001,G2,2011-11-13,2016-07-01,2019-06-30,2019-06-30,Normal Promotion,1094
E00086,POS002,G3,2019-07-01,2019-07-01,2020-06-28,2020-06-28,Early Promotion,363
E00087,POS002,G4,2023-01-21,2023-01-21,,,Initial Assignment,1107
E00088,POS002,G4,2022-02-22,2022-02-22,,,Initial Assignment,1440
E00089,POS002,G4,2021-05-30,2021-05-30,2023-12-31,2023-12-31,Initial Assignment,945
E00089,POS003,G5,2024-01-01,2024-01-01,,,Early Promotion,762
E00090,POS001,G2,2011-10-06,2011-10-06,2015-02-07,2015-02-07,Initial Assignment,1220
E00091,POS001,G2,2021-07-02,2021-07-02,2021-11-17,2021-11-17,Initial Assignment,138
E00092,POS001,G2,2019-10-10,2019-10-10,2023-12-31,2023-12-31,Initial Assignment,1543
E00092,POS002,G3,2024-01-01,2024-01-01,,,Normal Promotion,762
E00093,POS002,G3,2014-02-19,2014-02-19,2015-06-27,2015-06-27,Initial Assignment,493
E00094,POS001,G1,2016-10-13,2016-10-13,2019-02-08,2019-02-08,Initial Assignment,848
E00095,POS001,G2,2018-06-26,2018-06-26,2023-06-30,2023-06-30,Initial Assignment,1830
E00095,POS002,G3,2023-07-01,2023-07-01,,2025-12-31,Normal Promotion,914
E00095,POS002,G4,2023-07-01,2026-01-01,,,Early Promotion,31
E00096,POS002,G4,2025-02-21,2025-02-21,,,Initial Assignment,345
E00097,POS001,G2,2022-10-05,2022-10-05,,,Initial Assignment,1215
E00098,POS001,G1,2013-08-12,2013-08-12,2019-09-07,2015-12-31,Initial Assignment,871
E00098,POS001,G2,2013-08-12,2016-01-01,2019-09-07,2019-09-07,Early Promotion,1345
E00099,POS002,G3,2021-03-30,2021-03-30,2025-07-13,2023-12-31,Initial Assignment,1006
E00099,POS002,G4,2021-03-30,2024-01-01,2025-07-13,2025-07-13,Early Promotion,559
E00100,POS002,G3,2020-09-03,2020-09-03,2025-02-27,2025-02-27,Initial Assignment,1638
E00101,POS001,G1,2016-10-23,2016-10-23,2018-09-12,2018-09-12,Initial Assignment,689
E00102,POS001,G1,2016-12-26,2016-12-26,2020-04-12,2019-12-31,Initial Assignment,1100
E00102,POS001,G2,2016-12-26,2020-01-01,2020-04-12,2020-04-12,Early Promotion,102
E00103,POS001,G2,2016-07-04,2016-07-04,2020-06-30,2020-06-30,Initial Assignment,1457
E00103,POS002,G3,2020-07-01,2020-07-01,2024-04-02,2024-04-02,Normal Promotion,1371
E00104,POS001,G1,2011-02-24,2011-02-24,2016-11-06,2016-11-06,Initial Assignment,2082
E00105,POS002,G3,2023-12-15,2023-12-15,,,Initial Assignment,779
E00106,POS002,G3,2025-01-29,2025-01-29,,,Initial Assignment,368
E00107,POS001,G2,2018-01-28,2018-01-28,2019-10-19,2019-10-19,Initial Assignment,629
E00108,POS001,G1,2014-09-06,2014-09-06,2016-02-26,2016-02-26,Initial Assignment,538
E00109,POS001,G2,2020-06-18,2020-06-18,2024-06-01,2024-06-01,Initial Assignment,1444
E00110,POS001,G2,2019-01-09,2019-01-09,2022-05-31,2022-05-31,Initial Assignment,1238
E00111,POS001,G1,2017-12-20,2017-12-20,2020-05-03,2020-05-03,Initial Assignment,865
E00112,POS002,G3,2019-02-02,2019-02-02,2025-03-28,2022-12-31,Initial Assignment,1428
E00112,POS002,G4,2019-02-02,2023-01-01,2025-03-28,2025-03-28,Normal Promotion,817
E00113,POS002,G4,2024-01-13,2024-01-13,,,Initial Assignment,750
E00114,POS002,G3,2016-04-17,2016-04-17,2023-12-31,2019-12-31,Initial Assignment,1353
E00114,POS002,G4,2016-04-17,2020-01-01,2023-12-31,2023-12-31,Normal Promotion,1460
E00114,POS003,G5,2024-01-01,2024-01-01,,,Normal Promotion,762
E00115,POS001,G1,2011-11-29,2011-11-29,2012-09-18,2012-09-18,Initial Assignment,294
E00116,POS002,G3,2014-06-19,2014-06-19,2023-12-31,2017-12-31,Initial Assignment,1291
E00116,POS002,G4,2014-06-19,2018-01-01,2023-12-31,2023-12-31,Normal Promotion,2190
E00116,POS003,G5,2024-01-01,2024-01-01,,,Late Promotion,762
E00117,POS002,G3,2011-12-09,2011-12-09,2019-12-31,2016-12-31,Initial Assignment,1849
E00117,POS002,G4,2011-12-09,2017-01-01,2019-12-31,2019-12-31,Normal Promotion,1094
E00117,POS003,G5,2020-01-01,2020-01-01,,,Early Promotion,2223
E00118,POS001,G2,2024-09-10,2024-09-10,,,Initial Assignment,509
E00119,POS001,G1,2019-12-01,2019-12-01,,2021-12-31,Initial Assignment,761
E00119,POS001,G2,2019-12-01,2022-01-01,,,Early Promotion,1492
E00120,POS001,G2,2024-12-26,2024-12-26,,,Initial Assignment,402
E00121,POS001,G2,2019-02-18,2019-02-18,2025-12-31,2025-12-31,Initial Assignment,2508
E00121,POS002,G3,2026-01-01,2026-01-01,,,Late Promotion,31
E00122,POS001,G2,2022-04-15,2022-04-15,,,Initial Assignment,1388
E00123,POS001,G1,2013-06-08,2013-06-08,2021-07-24,2019-12-31,Initial Assignment,2397
E00123,POS001,G2,2013-06-08,2020-01-01,2021-07-24,2021-07-24,Late Promotion,570
E00124,POS001,G1,2023-11-06,2023-11-06,2025-03-13,2025-03-13,Initial Assignment,493
E00125,POS002,G3,2025-11-12,2025-11-12,,,Initial Assignment,81
E00126,POS001,G2,2024-06-03,2024-06-03,,,Initial Assignment,608
E00127,POS002,G3,2015-06-14,2015-06-14,2023-06-30,2018-06-30,Initial Assignment,1112
E00127,POS002,G4,2015-06-14,2018-07-01,2023-06-30,2023-06-30,Early Promotion,1825
E00127,POS003,G5,2023-07-01,2023-07-01,,,Normal Promotion,946
E00128,POS001,G1,2012-01-04,2012-01-04,2020-06-30,2016-06-30,Initial Assignment,1639
E00128,POS001,G2,2012-01-04,2016-07-01,2020-06-30,2020-06-30,Normal Promotion,1460
E00128,POS002,G3,2020-07-01,2020-07-01,,2025-06-30,Normal Promotion,1825
E00128,POS002,G4,2020-07-01,2025-07-01,,,Normal Promotion,215
E00129,POS001,G1,2017-10-22,2017-10-22,2019-01-14,2019-01-14,Initial Assignment,449
E00130,POS002,G3,2018-02-08,2018-02-08,2025-02-04,2024-12-31,Initial Assignment,2518
E00130,POS002,G4,2018-02-08,2025-01-01,2025-02-04,2025-02-04,Late Promotion,34
E00131,POS002,G3,2021-08-16,2021-08-16,,2025-12-31,Initial Assignment,1598
E00131,POS002,G4,2021-08-16,2026-01-01,,,Normal Promotion,31
E00132,POS001,G1,2012-06-24,2012-06-24,2023-06-30,2017-12-31,Initial Assignment,2016
E00132,POS001,G2,2012-06-24,2018-01-01,2023-06-30,2023-06-30,Normal Promotion,2006
E00132,POS002,G3,2023-07-01,2023-07-01,2025-02-28,2025-02-28,Normal Promotion,608
E00133,POS001,G1,2011-04-07,2011-04-07,2016-05-17,2016-05-17,Initial Assignment,1867
E00134,POS001,G2,2021-11-11,2021-11-11,2025-07-28,2025-07-28,Initial Assignment,1355
E00135,POS003,G5,2024-11-19,2024-11-19,,,Initial Assignment,439
E00136,POS002,G3,2025-03-18,2025-03-18,,,Initial Assignment,320
E00137,POS001,G1,2018-03-30,2018-03-30,2024-08-13,2022-06-30,Initial Assignment,1553
E00137,POS001,G2,2018-03-30,2022-07-01,2024-08-13,2024-08-13,Normal Promotion,774
E00138,POS002,G3,2025-08-18,2025-08-18,,,Initial Assignment,167
E00139,POS002,G4,2021-04-18,2021-04-18,2023-07-23,2023-07-23,Initial Assignment,826
E00140,POS001,G1,2017-12-25,2017-12-25,,2020-12-31,Initial Assignment,1102
E00140,POS001,G2,2017-12-25,2021-01-01,,,Normal Promotion,1857
E00141,POS001,G1,2020-08-31,2020-08-31,,2023-06-30,Initial Assignment,1033
E00141,POS001,G2,2020-08-31,2023-07-01,,,Early Promotion,946
E00142,POS001,G1,2015-01-30,2015-01-30,2017-10-29,2017-10-29,Initial Assignment,1003
E00143,POS002,G3,2023-11-06,2023-11-06,,,Initial Assignment,818
E00144,POS002,G4,2023-01-03,2023-01-03,,,Initial Assignment,1125
E00145,POS001,G2,2019-03-12,2019-03-12,2024-12-31,2024-12-31,Initial Assignment,2121
E00145,POS002,G3,2025-01-01,2025-01-01,2025-01-01,2025-01-01,Late Promotion,0
E00146,POS002,G3,2021-12-25,2021-12-25,2025-12-19,2025-12-19,Initial Assignment,1455
E00147,POS002,G3,2020-05-31,2020-05-31,,2022-06-30,Initial Assignment,760
E00147,POS002,G4,2020-05-31,2022-07-01,,,Early Promotion,1311
E00148,POS001,G1,2014-02-05,2014-02-05,2020-08-18,2020-06-30,Initial Assignment,2337
E00148,POS001,G2,2014-02-05,2020-07-01,2020-08-18,2020-08-18,Late Promotion,48
E00149,POS001,G2,2025-03-06,2025-03-06,2025-04-29,2025-04-29,Initial Assignment,54
E00150,POS001,G1,2014-10-12,2014-10-12,2021-06-30,2018-12-31,Initial Assignment,1541
E00150,POS001,G2,2014-10-12,2019-01-01,2021-06-30,2021-06-30,Normal Promotion,911
E00150,POS002,G3,2021-07-01,2021-07-01,2023-06-02,2023-06-02,Early Promotion,701
E00151,POS003,G5,2023-10-03,2023-10-03,,2025-12-31,Initial Assignment,820
E00151,POS003,G6,2023-10-03,2026-01-01,,,Early Promotion,31
E00152,POS001,G1,2023-01-06,2023-01-06,2025-04-08,2025-04-08,Initial Assignment,823
E00153,POS001,G1,2018-09-24,2018-09-24,2023-06-26,2023-06-26,Initial Assignment,1736
E00154,POS001,G2,2011-08-17,2011-08-17,2018-06-30,2018-06-30,Initial Assignment,2509
E00154,POS002,G3,2018-07-01,2018-07-01,2018-09-20,2018-09-20,Late Promotion,81
E00155,POS001,G2,2014-05-16,2014-05-16,2017-06-30,2017-06-30,Initial Assignment,1141
E00155,POS002,G3,2017-07-01,2017-07-01,,2021-06-30,Early Promotion,1460
E00155,POS002,G4,2017-07-01,2021-07-01,,,Normal Promotion,1676
E00156,POS002,G3,2023-10-02,2023-10-02,,,Initial Assignment,853
E00157,POS001,G1,2012-08-25,2012-08-25,2019-06-30,2016-12-31,Initial Assignment,1589
E00157,POS001,G2,2012-08-25,2017-01-01,2019-06-30,2019-06-30,Normal Promotion,910
E00157,POS002,G3,2019-07-01,2019-07-01,2025-02-11,2024-12-31,Early Promotion,2010
E00157,POS002,G4,2019-07-01,2025-01-01,2025-02-11,2025-02-11,Normal Promotion,41
E00158,POS002,G3,2020-09-11,2020-09-11,,,Initial Assignment,1969
E00159,POS002,G3,2022-03-07,2022-03-07,2022-07-25,2022-07-25,Initial Assignment,140
E00160,POS002,G3,2023-12-23,2023-12-23,,,Initial Assignment,771
E00161,POS001,G2,2012-02-09,2012-02-09,2012-06-24,2012-06-24,Initial Assignment,136
E00162,POS001,G2,2011-05-26,2011-05-26,2013-12-31,2013-12-31,Initial Assignment,950
E00162,POS002,G3,2014-01-01,2014-01-01,2017-02-11,2017-02-11,Early Promotion,1137
E00163,POS002,G3,2025-10-04,2025-10-04,,,Initial Assignment,120
E00164,POS001,G1,2021-07-31,2021-07-31,,,Initial Assignment,1646
E00165,POS001,G1,2015-04-14,2015-04-14,2017-08-22,2017-08-22,Initial Assignment,861
E00166,POS001,G1,2012-08-15,2012-08-15,2025-12-31,2019-06-30,Initial Assignment,2510
E00166,POS001,G2,2012-08-15,2019-07-01,2025-12-31,2025-12-31,Late Promotion,2375
E00166,POS002,G3,2026-01-01,2026-01-01,,,Late Promotion,31
E00167,POS001,G2,2020-06-12,2020-06-12,2024-01-03,2024-01-03,Initial Assignment,1300
E00168,POS001,G1,2012-06-08,2012-06-08,2022-06-15,2018-12-31,Initial Assignment,2397
E00168,POS001,G2,2012-06-08,2019-01-01,2022-06-15,2022-06-15,Late Promotion,1261
E00169,POS001,G1,2011-09-11,2011-09-11,2016-10-31,2016-10-31,Initial Assignment,1877
E00170,POS002,G3,2017-02-07,2017-02-07,2024-04-16,2023-06-30,Initial Assignment,2334
E00170,POS002,G4,2017-02-07,2023-07-01,2024-04-16,2024-04-16,Late Promotion,290
E00171,POS001,G1,2016-08-05,2016-08-05,,2020-12-31,Initial Assignment,1609
E00171,POS001,G2,2016-08-05,2021-01-01,,,Normal Promotion,1857
E00172,POS001,G1,2022-09-30,2022-09-30,2024-11-21,2024-11-21,Initial Assignment,783
E00173,POS001,G2,2019-09-11,2019-09-11,2024-06-30,2024-06-30,Initial Assignment,1754
E00173,POS002,G3,2024-07-01,2024-07-01,,,Normal Promotion,580
E00174,POS001,G2,2019-12-10,2019-12-10,2022-03-23,2022-03-23,Initial Assignment,834
E00175,POS002,G3,2022-07-30,2022-07-30,,,Initial Assignment,1282
E00176,POS001,G1,2019-02-02,2019-02-02,2021-05-04,2021-05-04,Initial Assignment,822
E00177,POS001,G2,2018-02-13,2018-02-13,2021-12-31,2021-12-31,Initial Assignment,1417
E00177,POS002,G3,2022-01-01,2022-01-01,,2023-12-31,Normal Promotion,729
E00177,POS002,G4,2022-01-01,2024-01-01,,,Early Promotion,762
E00178,POS002,G3,2021-04-06,2021-04-06,2022-12-29,2022-12-29,Initial Assignment,632
E00179,POS001,G2,2017-05-14,2017-05-14,2022-06-30,2022-06-30,Initial Assignment,1873
E00179,POS002,G3,2022-07-01,2022-07-01,,,Normal Promotion,1311
E00180,POS001,G1,2013-05-24,2013-05-24,2023-07-17,2019-12-31,Initial Assignment,2412
E00180,POS001,G2,2013-05-24,2020-01-01,2023-07-17,2023-07-17,Late Promotion,1293
E00181,POS002,G3,2022-10-31,2022-10-31,,,Initial Assignment,1189
E00182,POS001,G1,2022-11-28,2022-11-28,2023-12-26,2023-12-26,Initial Assignment,393
E00183,POS001,G2,2013-07-21,2013-07-21,2016-12-31,2016-12-31,Initial Assignment,1259
E00183,POS002,G3,2017-01-01,2017-01-01,2025-12-31,2019-12-31,Normal Promotion,1094
E00183,POS002,G4,2017-01-01,2020-01-01,2025-12-31,2025-12-31,Early Promotion,2191
E00183,POS003,G5,2026-01-01,2026-01-01,,,Late Promotion,31
E00184,POS001,G1,2022-08-18,2022-08-18,,,Initial Assignment,1263
E00185,POS001,G2,2012-01-20,2012-01-20,2013-10-21,2013-10-21,Initial Assignment,640
E00186,POS001,G1,2012-02-09,2012-02-09,2016-05-19,2016-05-19,Initial Assignment,1561
E00187,POS001,G2,2019-11-08,2019-11-08,2025-12-31,2025-12-31,Initial Assignment,2245
E00187,POS002,G3,2026-01-01,2026-01-01,,,Late Promotion,31
E00188,POS001,G1,2013-06-19,2013-06-19,2017-06-11,2017-06-11,Initial Assignment,1453
E00189,POS002,G3,2011-09-18,2011-09-18,2017-06-30,2014-12-31,Initial Assignment,1200
E00189,POS002,G4,2011-09-18,2015-01-01,2017-06-30,2017-06-30,Normal Promotion,911
