EMP_ID,EVAL_TIME,EVAL_YEAR,MODIFIED_SCORE,YEAR_AVERAGE_SCORE
E00019,2024-하반기,2024년,45.64,49.86
E00019,2025-상반기,2025년,58.1,58.1
E00020,2021-상반기,2021년,44.0,46.5
E00020,2021-하반기,2021년,49.0,46.5
E00020,2022-상반기,2022년,51.82,51.82
E00021,2021-상반기,2021년,67.65,68.82
E00021,2021-하반기,2021년,70.0,68.82
E00021,2022-상반기,2022년,66.1,80.05
E00021,2022-하반기,2022년,94.0,80.05
E00021,2023-상반기,2023년,59.11,64.46
E00021,2023-하반기,2023년,69.8,64.46
E00021,2024-상반기,2024년,47.35,47.35
E00022,2021-상반기,2021년,51.85,60.92
E00022,2021-하반기,2021년,70.0,60.92
E00022,2022-상반기,2022년,64.12,67.06
E00022,2022-하반기,2022년,70.0,67.06
E00022,2023-상반기,2023년,54.08,56.4
E00022,2023-하반기,2023년,58.72,56.4
E00022,2024-상반기,2024년,52.92,55.51
E00022,2024-하반기,2024년,58.1,55.51
E00022,2025-상반기,2025년,64.22,64.22
E00023,2021-상반기,2021년,63.58,59.29
E00023,2021-하반기,2021년,55.0,59.29
E00023,2022-상반기,2022년,52.82,53.91
E00023,2022-하반기,2022년,55.0,53.91
E00024,2021-상반기,2021년,48.3,74.15
E00024,2021-하반기,2021년,100.0,74.15
E00024,2022-상반기,2022년,71.8,55.9
E00024,2022-하반기,2022년,40.0,55.9
E00024,2023-상반기,2023년,44.15,47.46
E00024,2023-하반기,2023년,50.78,47.46
E00024,2024-상반기,2024년,47.08,46.76
E00024,2024-하반기,2024년,46.44,46.76
E00025,2024-하반기,2024년,16.4,16.4
E00025,2025-상반기,2025년,21.1,21.1
E00026,2021-상반기,2021년,42.5,59.25
E00026,2021-하반기,2021년,76.0,59.25
E00026,2022-상반기,2022년,54.85,50.42
E00026,2022-하반기,2022년,46.0,50.42
E00026,2023-상반기,2023년,37.5,35.22
E00026,2023-하반기,2023년,32.95,35.22
E00026,2024-상반기,2024년,38.55,58.82
E00026,2024-하반기,2024년,79.08,58.82
E00026,2025-상반기,2025년,77.82,77.82
E00027,2022-상반기,2022년,53.56,54.28
E00027,2022-하반기,2022년,55.0,54.28
E00027,2023-상반기,2023년,54.05,55.0
E00027,2023-하반기,2023년,55.96,55.0
E00027,2024-상반기,2024년,64.52,64.52
E00028,2023-상반기,2023년,61.6,68.2
E00028,2023-하반기,2023년,74.8,68.2
E00028,2024-상반기,2024년,85.94,82.42
E00028,2024-하반기,2024년,78.9,82.42
E00028,2025-상반기,2025년,54.24,54.24
E00029,2022-하반기,2022년,47.5,47.5
E00029,2023-상반기,2023년,23.18,35.19
E00029,2023-하반기,2023년,47.2,35.19
E00029,2024-상반기,2024년,99.24,59.12
E00029,2024-하반기,2024년,19.0,59.12
E00029,2025-상반기,2025년,18.08,18.08
E00030,2021-상반기,2021년,33.55,44.28
E00030,2021-하반기,2021년,55.0,44.28
E00030,2022-상반기,2022년,96.08,94.29
E00030,2022-하반기,2022년,92.5,94.29
E00030,2023-상반기,2023년,90.5,71.97
E00030,2023-하반기,2023년,53.45,71.97
E00030,2024-상반기,2024년,57.7,57.16
E00030,2024-하반기,2024년,56.62,57.16
E00030,2025-상반기,2025년,56.4,56.4
E00031,2021-상반기,2021년,78.48,77.99
E00031,2021-하반기,2021년,77.5,77.99
E00031,2022-상반기,2022년,64.96,62.98
E00031,2022-하반기,2022년,61.0,62.98
E00031,2023-상반기,2023년,85.44,64.62
E00031,2023-하반기,2023년,43.8,64.62
E00031,2024-상반기,2024년,47.4,47.49
E00031,2024-하반기,2024년,47.58,47.49
E00031,2025-상반기,2025년,57.12,57.12
E00032,2021-상반기,2021년,55.35,55.18
E00032,2021-하반기,2021년,55.0,55.18
E00032,2022-상반기,2022년,46.03,46.76
E00032,2022-하반기,2022년,47.5,46.76
E00033,2021-상반기,2021년,50.55,50.55
E00034,2024-상반기,2024년,80.9,85.32
E00034,2024-하반기,2024년,89.75,85.32
E00034,2025-상반기,2025년,90.36,90.36
E00035,2021-상반기,2021년,88.45,79.22
E00035,2021-하반기,2021년,70.0,79.22
E00035,2022-상반기,2022년,95.83,90.42
E00035,2022-하반기,2022년,85.0,90.42
E00035,2023-상반기,2023년,84.14,75.81
E00035,2023-하반기,2023년,67.47,75.81
E00035,2024-상반기,2024년,66.18,74.28
E00035,2024-하반기,2024년,82.37,74.28
E00035,2025-상반기,2025년,75.31,75.31
E00036,2021-상반기,2021년,56.08,59.29
E00036,2021-하반기,2021년,62.5,59.29
E00036,2022-상반기,2022년,54.85,51.18
E00036,2022-하반기,2022년,47.5,51.18
E00036,2023-상반기,2023년,61.55,62.08
E00036,2023-하반기,2023년,62.6,62.08
E00036,2024-상반기,2024년,76.7,84.57
E00036,2024-하반기,2024년,92.44,84.57
E00036,2025-상반기,2025년,70.4,70.4
E00037,2022-상반기,2022년,51.1,53.05
E00037,2022-하반기,2022년,55.0,53.05
E00037,2023-상반기,2023년,52.04,51.46
E00037,2023-하반기,2023년,50.88,51.46
E00038,2023-상반기,2023년,51.52,55.07
E00038,2023-하반기,2023년,58.62,55.07
E00038,2024-상반기,2024년,54.72,57.11
E00038,2024-하반기,2024년,59.5,57.11
E00039,2021-상반기,2021년,45.76,62.38
E00039,2021-하반기,2021년,79.0,62.38
E00039,2022-상반기,2022년,58.26,64.13
E00039,2022-하반기,2022년,70.0,64.13
E00039,2023-상반기,2023년,50.68,73.17
E00039,2023-하반기,2023년,95.65,73.17
E00039,2024-상반기,2024년,62.4,60.76
E00039,2024-하반기,2024년,59.12,60.76
E00039,2025-상반기,2025년,55.92,55.92
E00040,2021-상반기,2021년,53.62,54.31
E00040,2021-하반기,2021년,55.0,54.31
E00040,2022-상반기,2022년,44.17,44.17
E00041,2021-상반기,2021년,74.65,74.65
E00042,2021-상반기,2021년,67.96,68.98
E00042,2021-하반기,2021년,70.0,68.98
E00042,2022-상반기,2022년,70.6,77.8
E00042,2022-하반기,2022년,85.0,77.8
E00042,2023-상반기,2023년,60.04,58.22
E00042,2023-하반기,2023년,56.4,58.22
E00042,2024-상반기,2024년,63.8,78.76
E00042,2024-하반기,2024년,93.72,78.76
E00042,2025-상반기,2025년,77.98,77.98
E00044,2022-상반기,2022년,69.85,74.42
E00044,2022-하반기,2022년,79.0,74.42
E00044,2023-상반기,2023년,62.15,61.06
E00044,2023-하반기,2023년,59.96,61.06
E00044,2024-상반기,2024년,64.4,58.67
E00044,2024-하반기,2024년,52.94,58.67
E00044,2025-상반기,2025년,92.22,92.22
E00045,2023-상반기,2023년,53.58,53.14
E00045,2023-하반기,2023년,52.7,53.14
E00045,2024-상반기,2024년,50.06,49.51
E00045,2024-하반기,2024년,48.96,49.51
E00047,2022-하반기,2022년,62.5,62.5
E00047,2023-상반기,2023년,28.94,27.46
E00047,2023-하반기,2023년,25.98,27.46
E00047,2024-상반기,2024년,19.55,50.68
E00047,2024-하반기,2024년,81.82,50.68
E00047,2025-상반기,2025년,99.56,99.56
E00048,2021-상반기,2021년,56.86,56.86
E00049,2023-하반기,2023년,76.18,76.18
E00049,2024-상반기,2024년,52.98,55.91
E00049,2024-하반기,2024년,58.84,55.91
E00049,2025-상반기,2025년,39.4,39.4
E00050,2021-상반기,2021년,90.25,69.62
E00050,2021-하반기,2021년,49.0,69.62
E00050,2022-상반기,2022년,52.72,50.11
E00050,2022-하반기,2022년,47.5,50.11
E00050,2023-상반기,2023년,48.95,49.08
E00050,2023-하반기,2023년,49.22,49.08
E00051,2023-상반기,2023년,12.55,17.64
E00051,2023-하반기,2023년,22.74,17.64
E00051,2024-상반기,2024년,39.16,36.24
E00051,2024-하반기,2024년,33.32,36.24
E00051,2025-상반기,2025년,36.58,36.58
E00052,2022-상반기,2022년,61.0,61.0
E00052,2022-하반기,2022년,61.0,61.0
E00052,2023-상반기,2023년,88.56,93.43
E00052,2023-하반기,2023년,98.29,93.43
E00052,2024-상반기,2024년,86.76,79.46
E00052,2024-하반기,2024년,72.17,79.46
E00052,2025-상반기,2025년,45.31,45.31
E00053,2021-상반기,2021년,31.44,58.22
E00053,2021-하반기,2021년,85.0,58.22
E00053,2022-상반기,2022년,52.22,61.11
E00053,2022-하반기,2022년,70.0,61.11
E00053,2023-상반기,2023년,39.35,32.93
E00053,2023-하반기,2023년,26.51,32.93
E00053,2024-상반기,2024년,91.38,93.23
E00053,2024-하반기,2024년,95.08,93.23
E00053,2025-상반기,2025년,60.61,60.61
E00054,2024-상반기,2024년,80.3,65.9
E00054,2024-하반기,2024년,51.5,65.9
E00054,2025-상반기,2025년,39.18,39.18
E00055,2023-상반기,2023년,38.65,56.8
E00055,2023-하반기,2023년,74.96,56.8
E00055,2024-상반기,2024년,64.4,62.87
E00055,2024-하반기,2024년,61.34,62.87
E00055,2025-상반기,2025년,73.26,73.26
E00056,2021-상반기,2021년,39.9,57.95
E00056,2021-하반기,2021년,76.0,57.95
E00056,2022-상반기,2022년,66.68,68.34
E00056,2022-하반기,2022년,70.0,68.34
E00056,2023-상반기,2023년,93.75,85.38
E00056,2023-하반기,2023년,77.0,85.38
E00056,2024-상반기,2024년,94.9,92.55
E00056,2024-하반기,2024년,90.2,92.55
E00056,2025-상반기,2025년,86.66,86.66
E00057,2021-상반기,2021년,57.32,48.66
E00057,2021-하반기,2021년,40.0,48.66
E00057,2022-상반기,2022년,54.28,54.28
E00059,2021-상반기,2021년,48.75,48.12
E00059,2021-하반기,2021년,47.5,48.12
E00059,2022-상반기,2022년,42.07,42.07
E00060,2021-상반기,2021년,95.55,97.78
E00060,2021-하반기,2021년,100.0,97.78
E00060,2022-상반기,2022년,88.08,86.54
E00060,2022-하반기,2022년,85.0,86.54
E00060,2023-상반기,2023년,46.96,46.96
E00061,2025-상반기,2025년,34.98,34.98
E00062,2021-상반기,2021년,52.46,53.73
E00062,2021-하반기,2021년,55.0,53.73
E00062,2022-상반기,2022년,75.58,61.54
E00062,2022-하반기,2022년,47.5,61.54
E00062,2023-상반기,2023년,42.08,51.16
E00062,2023-하반기,2023년,60.25,51.16
E00062,2024-상반기,2024년,60.5,53.04
E00062,2024-하반기,2024년,45.58,53.04
E00064,2021-상반기,2021년,55.14,55.14
E00065,2021-상반기,2021년,92.06,84.03
E00065,2021-하반기,2021년,76.0,84.03
E00065,2022-상반기,2022년,78.88,81.94
E00065,2022-하반기,2022년,85.0,81.94
E00065,2023-상반기,2023년,62.25,55.98
E00065,2023-하반기,2023년,49.7,55.98
E00065,2024-상반기,2024년,59.9,63.88
E00065,2024-하반기,2024년,67.85,63.88
E00065,2025-상반기,2025년,79.88,79.88
E00066,2024-상반기,2024년,26.74,28.12
E00066,2024-하반기,2024년,29.5,28.12
E00066,2025-상반기,2025년,31.64,31.64
E00067,2024-상반기,2024년,59.74,60.94
E00067,2024-하반기,2024년,62.14,60.94
E00067,2025-상반기,2025년,41.9,41.9
E00068,2021-상반기,2021년,70.9,77.95
E00068,2021-하반기,2021년,85.0,77.95
E00068,2022-상반기,2022년,75.67,75.84
E00068,2022-하반기,2022년,76.0,75.84
E00068,2023-상반기,2023년,71.44,72.44
E00068,2023-하반기,2023년,73.45,72.44
E00068,2024-상반기,2024년,53.1,70.0
E00068,2024-하반기,2024년,86.9,70.0
E00068,2025-상반기,2025년,66.0,66.0
E00069,2022-상반기,2022년,52.78,58.39
E00069,2022-하반기,2022년,64.0,58.39
E00069,2023-상반기,2023년,26.06,24.88
E00069,2023-하반기,2023년,23.7,24.88
E00069,2024-상반기,2024년,23.8,24.35
E00069,2024-하반기,2024년,24.9,24.35
E00070,2021-상반기,2021년,92.7,88.85
E00070,2021-하반기,2021년,85.0,88.85
E00070,2022-상반기,2022년,73.66,68.08
E00070,2022-하반기,2022년,62.5,68.08
E00070,2023-상반기,2023년,89.02,78.64
E00070,2023-하반기,2023년,68.26,78.64
E00070,2024-상반기,2024년,66.76,61.81
E00070,2024-하반기,2024년,56.86,61.81
E00070,2025-상반기,2025년,57.16,57.16
E00071,2021-상반기,2021년,84.55,84.78
E00071,2021-하반기,2021년,85.0,84.78
E00071,2022-상반기,2022년,70.03,70.02
E00071,2022-하반기,2022년,70.0,70.02
E00071,2023-상반기,2023년,79.4,68.59
E00071,2023-하반기,2023년,57.78,68.59
E00071,2024-상반기,2024년,65.92,82.07
E00071,2024-하반기,2024년,98.22,82.07
E00071,2025-상반기,2025년,96.64,96.64
E00072,2021-하반기,2021년,55.0,55.0
E00072,2022-상반기,2022년,68.38,65.44
E00072,2022-하반기,2022년,62.5,65.44
E00072,2023-상반기,2023년,65.78,78.58
E00072,2023-하반기,2023년,91.38,78.58
E00072,2024-상반기,2024년,50.7,46.78
E00072,2024-하반기,2024년,42.85,46.78
E00072,2025-상반기,2025년,50.02,50.02
E00073,2021-상반기,2021년,91.74,88.37
E00073,2021-하반기,2021년,85.0,88.37
E00073,2022-상반기,2022년,53.38,49.69
E00073,2022-하반기,2022년,46.0,49.69
E00073,2023-상반기,2023년,58.42,49.66
E00073,2023-하반기,2023년,40.9,49.66
E00073,2024-상반기,2024년,55.62,55.62
E00074,2022-하반기,2022년,61.0,61.0
E00074,2023-상반기,2023년,30.14,29.84
E00074,2023-하반기,2023년,29.54,29.84
E00074,2024-상반기,2024년,39.5,36.75
E00074,2024-하반기,2024년,34.0,36.75
E00074,2025-상반기,2025년,29.08,29.08
E00076,2021-상반기,2021년,78.86,69.93
E00076,2021-하반기,2021년,61.0,69.93
E00076,2022-상반기,2022년,73.6,68.8
E00076,2022-하반기,2022년,64.0,68.8
E00076,2023-상반기,2023년,80.56,84.51
E00076,2023-하반기,2023년,88.46,84.51
E00076,2024-상반기,2024년,90.62,83.38
E00076,2024-하반기,2024년,76.15,83.38
E00076,2025-상반기,2025년,65.18,65.18
E00077,2025-상반기,2025년,79.18,79.18
E00078,2021-하반기,2021년,46.0,46.0
E00078,2022-상반기,2022년,54.24,50.87
E00078,2022-하반기,2022년,47.5,50.87
E00078,2023-상반기,2023년,56.6,57.41
E00078,2023-하반기,2023년,58.22,57.41
E00078,2024-상반기,2024년,59.02,59.02
E00079,2021-상반기,2021년,52.72,65.11
E00079,2021-하반기,2021년,77.5,65.11
E00079,2022-상반기,2022년,60.67,65.34
E00079,2022-하반기,2022년,70.0,65.34
E00079,2023-상반기,2023년,29.35,26.64
E00079,2023-하반기,2023년,23.92,26.64
E00079,2024-상반기,2024년,23.08,23.08
E00080,2022-상반기,2022년,43.76,43.76
E00081,2021-상반기,2021년,76.6,77.05
E00081,2021-하반기,2021년,77.5,77.05
E00081,2022-상반기,2022년,88.93,91.46
E00081,2022-하반기,2022년,94.0,91.46
E00081,2023-상반기,2023년,38.45,32.94
E00081,2023-하반기,2023년,27.43,32.94
E00081,2024-상반기,2024년,40.63,64.15
E00081,2024-하반기,2024년,87.67,64.15
E00081,2025-상반기,2025년,90.47,90.47
E00082,2021-상반기,2021년,78.1,74.05
E00082,2021-하반기,2021년,70.0,74.05
E00082,2022-상반기,2022년,63.04,62.02
E00082,2022-하반기,2022년,61.0,62.02
E00082,2023-상반기,2023년,48.35,42.62
E00082,2023-하반기,2023년,36.9,42.62
E00082,2024-상반기,2024년,33.9,33.04
E00082,2024-하반기,2024년,32.18,33.04
E00082,2025-상반기,2025년,37.52,37.52
E00083,2021-상반기,2021년,43.85,45.68
E00083,2021-하반기,2021년,47.5,45.68
E00083,2022-상반기,2022년,53.17,50.34
E00083,2022-하반기,2022년,47.5,50.34
E00083,2023-상반기,2023년,50.28,50.28
E00087,2023-상반기,2023년,77.64,74.47
E00087,2023-하반기,2023년,71.3,74.47
E00087,2024-상반기,2024년,62.88,68.39
E00087,2024-하반기,2024년,73.9,68.39
E00087,2025-상반기,2025년,63.34,63.34
E00088,2022-상반기,2022년,74.44,79.72
E00088,2022-하반기,2022년,85.0,79.72
E00088,2023-상반기,2023년,65.54,68.92
E00088,2023-하반기,2023년,72.3,68.92
E00088,2024-상반기,2024년,63.58,59.33
E00088,2024-하반기,2024년,55.08,59.33
E00088,2025-상반기,2025년,73.12,73.12
E00089,2021-상반기,2021년,64.3,67.15
E00089,2021-하반기,2021년,70.0,67.15
E00089,2022-상반기,2022년,71.41,73.7
E00089,2022-하반기,2022년,76.0,73.7
E00089,2023-상반기,2023년,85.32,88.38
E00089,2023-하반기,2023년,91.44,88.38
E00089,2024-상반기,2024년,30.75,28.32
E00089,2024-하반기,2024년,25.9,28.32
E00089,2025-상반기,2025년,23.92,23.92
E00091,2021-하반기,2021년,55.0,55.0
E00092,2021-상반기,2021년,39.24,50.87
E00092,2021-하반기,2021년,62.5,50.87
E00092,2022-상반기,2022년,67.66,68.83
E00092,2022-하반기,2022년,70.0,68.83
E00092,2023-상반기,2023년,59.18,75.04
E00092,2023-하반기,2023년,90.9,75.04
E00092,2024-상반기,2024년,81.36,61.3
E00092,2024-하반기,2024년,41.25,61.3
E00092,2025-상반기,2025년,41.6,41.6
E00095,2021-상반기,2021년,58.68,68.84
E00095,2021-하반기,2021년,79.0,68.84
E00095,2022-상반기,2022년,63.12,70.31
E00095,2022-하반기,2022년,77.5,70.31
E00095,2023-상반기,2023년,86.5,69.34
E00095,2023-하반기,2023년,52.18,69.34
E00095,2024-상반기,2024년,51.44,48.74
E00095,2024-하반기,2024년,46.05,48.74
E00095,2025-상반기,2025년,39.12,39.12
E00096,2025-상반기,2025년,71.16,71.16
E00097,2022-하반기,2022년,70.0,70.0
E00097,2023-상반기,2023년,34.36,34.58
E00097,2023-하반기,2023년,34.8,34.58
E00097,2024-상반기,2024년,43.2,33.11
E00097,2024-하반기,2024년,23.02,33.11
E00097,2025-상반기,2025년,22.68,22.68
E00099,2021-상반기,2021년,97.05,71.53
E00099,2021-하반기,2021년,46.0,71.53
E00099,2022-상반기,2022년,74.5,67.75
E00099,2022-하반기,2022년,61.0,67.75
E00099,2023-상반기,2023년,90.96,90.68
E00099,2023-하반기,2023년,90.4,90.68
E00099,2024-상반기,2024년,75.76,74.24
E00099,2024-하반기,2024년,72.72,74.24
E00099,2025-상반기,2025년,75.36,75.36
E00100,2021-상반기,2021년,64.45,62.72
E00100,2021-하반기,2021년,61.0,62.72
E00100,2022-상반기,2022년,56.46,73.73
E00100,2022-하반기,2022년,91.0,73.73
E00100,2023-상반기,2023년,69.8,75.0
E00100,2023-하반기,2023년,80.2,75.0
E00100,2024-상반기,2024년,66.76,73.83
E00100,2024-하반기,2024년,80.9,73.83
E00100,2025-상반기,2025년,76.05,76.05
E00103,2021-상반기,2021년,76.28,73.14
E00103,2021-하반기,2021년,70.0,73.14
E00103,2022-상반기,2022년,77.5,76.75
E00103,2022-하반기,2022년,76.0,76.75
E00103,2023-상반기,2023년,100.0,100.0
E00103,2023-하반기,2023년,100.0,100.0
E00103,2024-상반기,2024년,47.7,47.7
E00105,2023-하반기,2023년,60.14,60.14
E00105,2024-상반기,2024년,87.78,91.74
E00105,2024-하반기,2024년,95.71,91.74
E00105,2025-상반기,2025년,91.09,91.09
E00106,2025-상반기,2025년,75.08,75.08
E00109,2021-상반기,2021년,63.58,63.79
E00109,2021-하반기,2021년,64.0,63.79
E00109,2022-상반기,2022년,52.42,53.71
E00109,2022-하반기,2022년,55.0,53.71
E00109,2023-상반기,2023년,44.6,53.8
E00109,2023-하반기,2023년,63.0,53.8
E00109,2024-상반기,2024년,27.26,27.26
E00110,2021-상반기,2021년,53.54,50.52
E00110,2021-하반기,2021년,47.5,50.52
E00110,2022-상반기,2022년,56.26,56.26
E00112,2021-상반기,2021년,63.9,66.95
E00112,2021-하반기,2021년,70.0,66.95
E00112,2022-상반기,2022년,76.48,88.24
E00112,2022-하반기,2022년,100.0,88.24
E00112,2023-상반기,2023년,46.84,49.65
E00112,2023-하반기,2023년,52.46,49.65
E00112,2024-상반기,2024년,58.72,59.16
E00112,2024-하반기,2024년,59.6,59.16
E00112,2025-상반기,2025년,57.38,57.38
E00113,2024-상반기,2024년,75.95,83.42
E00113,2024-하반기,2024년,90.88,83.42
E00113,2025-상반기,2025년,78.7,78.7
E00114,2021-상반기,2021년,62.6,62.55
E00114,2021-하반기,2021년,62.5,62.55
E00114,2022-상반기,2022년,59.32,57.16
E00114,2022-하반기,2022년,55.0,57.16
E00114,2023-상반기,2023년,64.78,79.07
E00114,2023-하반기,2023년,93.36,79.07
E00114,2024-상반기,2024년,95.62,64.05
E00114,2024-하반기,2024년,32.48,64.05
E00114,2025-상반기,2025년,25.25,25.25
E00116,2021-상반기,2021년,70.75,66.62
E00116,2021-하반기,2021년,62.5,66.62
E00116,2022-상반기,2022년,70.33,70.16
E00116,2022-하반기,2022년,70.0,70.16
E00116,2023-상반기,2023년,88.55,92.62
E00116,2023-하반기,2023년,96.68,92.62
E00116,2024-상반기,2024년,95.22,94.36
E00116,2024-하반기,2024년,93.5,94.36
E00116,2025-상반기,2025년,81.46,81.46
E00117,2021-상반기,2021년,72.28,71.14
E00117,2021-하반기,2021년,70.0,71.14
E00117,2022-상반기,2022년,63.4,66.7
E00117,2022-하반기,2022년,70.0,66.7
E00117,2023-상반기,2023년,59.95,62.62
E00117,2023-하반기,2023년,65.28,62.62
E00117,2024-상반기,2024년,74.46,82.2
E00117,2024-하반기,2024년,89.95,82.2
E00117,2025-상반기,2025년,93.8,93.8
E00118,2024-하반기,2024년,27.82,27.82
E00118,2025-상반기,2025년,28.9,28.9
E00119,2021-상반기,2021년,69.55,77.28
E00119,2021-하반기,2021년,85.0,77.28
E00119,2022-상반기,2022년,75.46,72.73
E00119,2022-하반기,2022년,70.0,72.73
E00119,2023-상반기,2023년,76.2,75.55
E00119,2023-하반기,2023년,74.9,75.55
E00119,2024-상반기,2024년,76.88,82.03
E00119,2024-하반기,2024년,87.18,82.03
E00119,2025-상반기,2025년,43.15,43.15
E00120,2024-하반기,2024년,93.08,93.08
E00120,2025-상반기,2025년,73.2,73.2
E00121,2021-상반기,2021년,38.0,54.0
E00121,2021-하반기,2021년,70.0,54.0
E00121,2022-상반기,2022년,52.06,61.03
E00121,2022-하반기,2022년,70.0,61.03
E00121,2023-상반기,2023년,37.52,48.54
E00121,2023-하반기,2023년,59.56,48.54
E00121,2024-상반기,2024년,58.44,59.71
E00121,2024-하반기,2024년,60.98,59.71
E00121,2025-상반기,2025년,70.62,70.62
E00122,2022-상반기,2022년,53.04,54.02
E00122,2022-하반기,2022년,55.0,54.02
E00122,2023-상반기,2023년,69.44,78.24
E00122,2023-하반기,2023년,87.04,78.24
E00122,2024-상반기,2024년,70.75,70.65
E00122,2024-하반기,2024년,70.55,70.65
E00122,2025-상반기,2025년,87.64,87.64
E00123,2021-상반기,2021년,48.2,51.6
E00123,2021-하반기,2021년,55.0,51.6
E00124,2023-하반기,2023년,51.06,51.06
E00124,2024-상반기,2024년,42.75,63.3
E00124,2024-하반기,2024년,83.86,63.3
E00124,2025-상반기,2025년,74.68,74.68
E00126,2024-상반기,2024년,54.14,51.22
E00126,2024-하반기,2024년,48.3,51.22
E00126,2025-상반기,2025년,46.28,46.28
E00127,2021-상반기,2021년,79.55,74.78
E00127,2021-하반기,2021년,70.0,74.78
E00127,2022-상반기,2022년,69.67,62.34
E00127,2022-하반기,2022년,55.0,62.34
E00127,2023-상반기,2023년,88.76,90.46
E00127,2023-하반기,2023년,92.15,90.46
E00127,2024-상반기,2024년,82.62,82.87
E00127,2024-하반기,2024년,83.12,82.87
E00127,2025-상반기,2025년,29.94,29.94
E00128,2021-상반기,2021년,48.0,59.0
E00128,2021-하반기,2021년,70.0,59.0
E00128,2022-상반기,2022년,53.54,54.27
E00128,2022-하반기,2022년,55.0,54.27
E00128,2023-상반기,2023년,42.6,46.13
E00128,2023-하반기,2023년,49.66,46.13
E00128,2024-상반기,2024년,51.36,51.05
E00128,2024-하반기,2024년,50.74,51.05
E00128,2025-상반기,2025년,86.38,86.38
E00130,2021-상반기,2021년,66.5,68.25
E00130,2021-하반기,2021년,70.0,68.25
E00130,2022-상반기,2022년,71.34,73.67
E00130,2022-하반기,2022년,76.0,73.67
E00130,2023-상반기,2023년,55.68,50.3
E00130,2023-하반기,2023년,44.92,50.3
E00130,2024-상반기,2024년,41.26,65.76
E00130,2024-하반기,2024년,90.27,65.76
E00130,2025-상반기,2025년,94.04,94.04
E00131,2021-하반기,2021년,55.0,55.0
E00131,2022-상반기,2022년,80.34,75.17
E00131,2022-하반기,2022년,70.0,75.17
E00131,2023-상반기,2023년,63.5,54.05
E00131,2023-하반기,2023년,44.6,54.05
