EMP_ID,EVAL_TIME,EVAL_SYS_ID,ORIGINAL_SCORE
E00736,2021-상반기,ES001,91.3
E00123,2021-상반기,ES001,57.5
E00811,2021-상반기,ES001,82.0
E00427,2021-상반기,ES001,75.5
E00596,2021-상반기,ES001,88.0
E00183,2021-상반기,ES001,34.9
E00440,2021-상반기,ES001,47.4
E00900,2021-상반기,ES001,23.0
E00680,2021-상반기,ES001,48.7
E00612,2021-상반기,ES001,48.5
E00022,2021-상반기,ES001,54.7
E00198,2021-상반기,ES001,49.5
E00352,2021-상반기,ES001,76.2
E00478,2021-상반기,ES001,43.9
E00306,2021-상반기,ES001,52.5
E00002,2021-상반기,ES001,99.4
E00688,2021-상반기,ES001,90.0
E00838,2021-상반기,ES001,45.5
E00748,2021-상반기,ES001,68.3
E00062,2021-상반기,ES001,36.8
E00483,2021-상반기,ES001,42.3
E00578,2021-상반기,ES001,77.3
E00893,2021-상반기,ES001,30.0
E00012,2021-상반기,ES001,95.5
E00242,2021-상반기,ES001,83.1
E00291,2021-상반기,ES001,40.5
E00569,2021-상반기,ES001,16.3
E00334,2021-상반기,ES001,85.8
E00555,2021-상반기,ES001,76.8
E00081,2021-상반기,ES001,83.0
E00324,2021-상반기,ES001,86.5
E00995,2021-상반기,ES001,69.9
E00732,2021-상반기,ES001,29.4
E00287,2021-상반기,ES001,52.5
E00745,2021-상반기,ES001,61.2
E00155,2021-상반기,ES001,94.1
E00367,2021-상반기,ES001,39.1
E00790,2021-상반기,ES001,82.0
E00600,2021-상반기,ES001,60.2
E00320,2021-상반기,ES001,58.2
E00518,2021-상반기,ES001,93.0
E00116,2021-상반기,ES001,67.1
E00193,2021-상반기,ES001,53.3
E00053,2021-상반기,ES001,31.2
E00796,2021-상반기,ES001,99.6
E00869,2021-상반기,ES001,50.9
E00730,2021-상반기,ES001,49.5
E00057,2021-상반기,ES001,53.8
E00150,2021-상반기,ES001,60.7
E00304,2021-상반기,ES001,57.1
E00064,2021-상반기,ES001,55.5
E00451,2021-상반기,ES001,97.9
E00001,2021-상반기,ES001,65.7
E00079,2021-상반기,ES001,76.9
E00313,2021-상반기,ES001,80.9
E00576,2021-상반기,ES001,69.2
E00901,2021-상반기,ES001,33.0
E00991,2021-상반기,ES001,75.9
E00841,2021-상반기,ES001,54.4
E00356,2021-상반기,ES001,70.0
E00830,2021-상반기,ES001,56.9
E00813,2021-상반기,ES001,69.8
E00249,2021-상반기,ES001,95.6
E00786,2021-상반기,ES001,65.0
E00648,2021-상반기,ES001,41.1
E00462,2021-상반기,ES001,67.0
E00814,2021-상반기,ES001,88.4
E00048,2021-상반기,ES001,47.2
E00302,2021-상반기,ES001,42.0
E00453,2021-상반기,ES001,61.1
E00355,2021-상반기,ES001,23.8
E00245,2021-상반기,ES001,35.1
E00616,2021-상반기,ES001,22.7
E00024,2021-상반기,ES001,61.7
E00515,2021-상반기,ES001,45.8
E00957,2021-상반기,ES001,58.8
E00223,2021-상반기,ES001,59.3
E00512,2021-상반기,ES001,86.5
E00127,2021-상반기,ES001,87.9
E00015,2021-상반기,ES001,53.6
E00794,2021-상반기,ES001,89.2
E00503,2021-상반기,ES001,58.7
E00322,2021-상반기,ES001,78.3
E00907,2021-상반기,ES001,44.8
E00552,2021-상반기,ES001,32.8
E00703,2021-상반기,ES001,55.9
E00684,2021-상반기,ES001,90.5
E00743,2021-상반기,ES001,90.6
E00879,2021-상반기,ES001,45.2
E00829,2021-상반기,ES001,48.0
E00050,2021-상반기,ES001,89.0
E00753,2021-상반기,ES001,63.4
E00197,2021-상반기,ES001,38.1
E00466,2021-상반기,ES001,83.9
E00660,2021-상반기,ES001,71.1
E00463,2021-상반기,ES001,77.2
E00773,2021-상반기,ES001,78.0
E00532,2021-상반기,ES001,82.9
E00363,2021-상반기,ES001,56.2
E00812,2021-상반기,ES001,41.3
E00976,2021-상반기,ES001,82.3
E00986,2021-상반기,ES001,66.1
E00342,2021-상반기,ES001,77.5
E00826,2021-상반기,ES001,80.6
E00196,2021-상반기,ES001,44.6
E00281,2021-상반기,ES001,37.9
E00927,2021-상반기,ES001,46.9
E00068,2021-상반기,ES001,59.2
E00761,2021-상반기,ES001,72.7
E00860,2021-상반기,ES001,55.2
E00923,2021-상반기,ES001,89.4
E00401,2021-상반기,ES001,15.1
E00114,2021-상반기,ES001,61.6
E00610,2021-상반기,ES001,59.5
E00376,2021-상반기,ES001,46.3
E00056,2021-상반기,ES001,37.5
E00439,2021-상반기,ES001,53.7
E00724,2021-상반기,ES001,86.5
E00960,2021-상반기,ES001,50.3
E00103,2021-상반기,ES001,67.0
E00390,2021-상반기,ES001,66.0
E00845,2021-상반기,ES001,44.3
E00381,2021-상반기,ES001,95.9
E00721,2021-상반기,ES001,61.7
E00609,2021-상반기,ES001,44.1
E00720,2021-상반기,ES001,92.3
E00070,2021-상반기,ES001,94.3
E00402,2021-상반기,ES001,47.2
E00171,2021-상반기,ES001,70.7
E00394,2021-상반기,ES001,48.6
E00780,2021-상반기,ES001,46.9
E00802,2021-상반기,ES001,49.5
E00231,2021-상반기,ES001,26.4
E00530,2021-상반기,ES001,72.7
E00521,2021-상반기,ES001,68.4
E00526,2021-상반기,ES001,99.8
E00388,2021-상반기,ES001,27.5
E00309,2021-상반기,ES001,53.5
E00060,2021-상반기,ES001,91.1
E00211,2021-상반기,ES001,56.0
E00825,2021-상반기,ES001,49.4
E00878,2021-상반기,ES001,93.4
E00538,2021-상반기,ES001,35.3
E00353,2021-상반기,ES001,62.5
E00170,2021-상반기,ES001,92.6
E00335,2021-상반기,ES001,40.9
E00755,2021-상반기,ES001,76.8
E00493,2021-상반기,ES001,57.1
E00452,2021-상반기,ES001,80.5
E00605,2021-상반기,ES001,43.3
E00021,2021-상반기,ES001,70.7
E00932,2021-상반기,ES001,50.0
E00955,2021-상반기,ES001,65.9
E00031,2021-상반기,ES001,75.0
E00856,2021-상반기,ES001,70.4
E00979,2021-상반기,ES001,29.1
E00308,2021-상반기,ES001,79.6
E00707,2021-상반기,ES001,53.0
E00505,2021-상반기,ES001,45.1
E00274,2021-상반기,ES001,25.3
E00858,2021-상반기,ES001,61.1
E00778,2021-상반기,ES001,65.6
E00179,2021-상반기,ES001,74.4
E00368,2021-상반기,ES001,19.5
E00919,2021-상반기,ES001,63.2
E00235,2021-상반기,ES001,47.6
E00617,2021-상반기,ES001,75.2
E00382,2021-상반기,ES001,96.6
E00758,2021-상반기,ES001,41.5
E00007,2021-상반기,ES001,66.2
E00525,2021-상반기,ES001,88.4
E00973,2021-상반기,ES001,55.9
E00924,2021-상반기,ES001,84.5
E00585,2021-상반기,ES001,41.1
E00850,2021-상반기,ES001,47.8
E00030,2021-상반기,ES001,32.6
E00412,2021-상반기,ES001,90.0
E00076,2021-상반기,ES001,81.2
E00839,2021-상반기,ES001,47.0
E00734,2021-상반기,ES001,40.8
E00728,2021-상반기,ES001,69.0
E00791,2021-상반기,ES001,47.9
E00681,2021-상반기,ES001,84.8
E00522,2021-상반기,ES001,56.6
E00288,2021-상반기,ES001,46.7
E00374,2021-상반기,ES001,68.2
E00415,2021-상반기,ES001,47.2
E00005,2021-상반기,ES001,45.3
E00697,2021-상반기,ES001,29.9
E00909,2021-상반기,ES001,86.0
E00807,2021-상반기,ES001,86.5
E00735,2021-상반기,ES001,64.8
E00236,2021-상반기,ES001,51.7
E00265,2021-상반기,ES001,99.1
E00073,2021-상반기,ES001,98.1
E00798,2021-상반기,ES001,50.1
E00140,2021-상반기,ES001,82.8
E00729,2021-상반기,ES001,82.1
E00983,2021-상반기,ES001,91.3
E00896,2021-상반기,ES001,89.7
E00711,2021-상반기,ES001,82.1
E00296,2021-상반기,ES001,62.4
E00658,2021-상반기,ES001,56.4
E00895,2021-상반기,ES001,35.2
E00772,2021-상반기,ES001,40.6
E00844,2021-상반기,ES001,90.9
E01000,2021-상반기,ES001,49.9
E00413,2021-상반기,ES001,64.6
E00978,2021-상반기,ES001,17.3
E00597,2021-상반기,ES001,34.5
E00130,2021-상반기,ES001,68.7
E00177,2021-상반기,ES001,15.8
E00752,2021-상반기,ES001,98.7
E00039,2021-상반기,ES001,41.2
E00215,2021-상반기,ES001,91.9
E00014,2021-상반기,ES001,67.1
E00547,2021-상반기,ES001,67.3
E00497,2021-상반기,ES001,64.8
E00934,2021-상반기,ES001,48.8
E00225,2021-상반기,ES001,67.6
E00059,2021-상반기,ES001,46.6
E00700,2021-상반기,ES001,49.9
E00746,2021-상반기,ES001,88.7
E00013,2021-상반기,ES001,51.9
E00137,2021-상반기,ES001,82.1
E00725,2021-상반기,ES001,69.4
E00264,2021-상반기,ES001,83.2
E00301,2021-상반기,ES001,69.6
E00846,2021-상반기,ES001,57.2
E00362,2021-상반기,ES001,35.4
E00312,2021-상반기,ES001,54.0
E00797,2021-상반기,ES001,50.5
E00659,2021-상반기,ES001,49.5
E00360,2021-상반기,ES001,88.9
E00623,2021-상반기,ES001,54.6
E00260,2021-상반기,ES001,62.4
E00756,2021-상반기,ES001,91.0
E00587,2021-상반기,ES001,40.3
E00726,2021-상반기,ES001,92.3
E00095,2021-상반기,ES001,61.4
E00625,2021-상반기,ES001,80.3
E00801,2021-상반기,ES001,72.6
E00251,2021-상반기,ES001,81.5
E00554,2021-상반기,ES001,69.7
E00776,2021-상반기,ES001,65.3
E00040,2021-상반기,ES001,57.1
E00396,2021-상반기,ES001,47.5
E00897,2021-상반기,ES001,45.5
E00258,2021-상반기,ES001,82.3
E00208,2021-상반기,ES001,100.0
E00667,2021-상반기,ES001,53.4
E00337,2021-상반기,ES001,23.4
E00042,2021-상반기,ES001,70.4
E00880,2021-상반기,ES001,52.7
E00246,2021-상반기,ES001,86.4
E00854,2021-상반기,ES001,43.0
E00882,2021-상반기,ES001,85.7
E00965,2021-상반기,ES001,92.1
E00511,2021-상반기,ES001,93.3
E00200,2021-상반기,ES001,90.3
E00266,2021-상반기,ES001,51.3
E00153,2021-상반기,ES001,42.7
E00889,2021-상반기,ES001,94.4
E00859,2021-상반기,ES001,17.9
E00259,2021-상반기,ES001,86.3
E00033,2021-상반기,ES001,59.8
E00804,2021-상반기,ES001,56.3
E00373,2021-상반기,ES001,50.6
E00953,2021-상반기,ES001,93.1
E00071,2021-상반기,ES001,92.4
E00594,2021-상반기,ES001,81.1
E00436,2021-상반기,ES001,52.3
E00507,2021-상반기,ES001,58.8
E00345,2021-상반기,ES001,79.8
E00908,2021-상반기,ES001,54.6
E00952,2021-상반기,ES001,36.4
E00248,2021-상반기,ES001,63.2
E00110,2021-상반기,ES001,41.6
E00855,2021-상반기,ES001,49.5
E00501,2021-상반기,ES001,86.8
E00782,2021-상반기,ES001,81.8
E00023,2021-상반기,ES001,57.7
E00303,2021-상반기,ES001,35.3
E00176,2021-상반기,ES001,64.9
E00112,2021-상반기,ES001,69.3
E00392,2021-상반기,ES001,96.1
E00121,2021-상반기,ES001,37.3
E00877,2021-상반기,ES001,57.3
E00406,2021-상반기,ES001,80.5
E00145,2021-상반기,ES001,72.9
E00583,2021-상반기,ES001,66.4
E00641,2021-상반기,ES001,53.2
E00531,2021-상반기,ES001,77.8
E00691,2021-상반기,ES001,58.9
E00831,2021-상반기,ES001,54.0
E00391,2021-상반기,ES001,77.1
E00787,2021-상반기,ES001,79.1
E00082,2021-상반기,ES001,82.5
E00459,2021-상반기,ES001,86.6
E00227,2021-상반기,ES001,56.8
E00218,2021-상반기,ES001,64.0
E00866,2021-상반기,ES001,71.5
E00638,2021-상반기,ES001,68.0
E00421,2021-상반기,ES001,68.7
E00519,2021-상반기,ES001,73.6
E00608,2021-상반기,ES001,79.5
E00921,2021-상반기,ES001,56.3
E00420,2021-상반기,ES001,48.9
E00977,2021-상반기,ES001,31.3
E00888,2021-상반기,ES001,59.8
E00663,2021-상반기,ES001,24.1
E00564,2021-상반기,ES001,51.8
E00800,2021-상반기,ES001,74.4
E00173,2021-상반기,ES001,52.5
E00325,2021-상반기,ES001,71.4
E00255,2021-상반기,ES001,20.7
E00243,2021-상반기,ES001,26.1
E00041,2021-상반기,ES001,72.2
E00572,2021-상반기,ES001,58.5
E00092,2021-상반기,ES001,37.5
E00461,2021-상반기,ES001,64.3
E00479,2021-상반기,ES001,68.7
E00550,2021-상반기,ES001,75.9
E00722,2021-상반기,ES001,46.1
E00558,2021-상반기,ES001,61.3
E00187,2021-상반기,ES001,29.4
E00970,2021-상반기,ES001,28.8
E00922,2021-상반기,ES001,62.3
E00904,2021-상반기,ES001,58.5
E00119,2021-상반기,ES001,74.2
E00899,2021-상반기,ES001,80.6
E00286,2021-상반기,ES001,93.4
E00174,2021-상반기,ES001,61.5
E00962,2021-상반기,ES001,60.0
E00408,2021-상반기,ES001,40.3
E00442,2021-상반기,ES001,50.4
E00035,2021-상반기,ES001,80.5
E00566,2021-상반기,ES001,45.6
E00673,2021-상반기,ES001,51.2
E00822,2021-상반기,ES001,29.0
E00650,2021-상반기,ES001,22.4
E00417,2021-상반기,ES001,89.5
E00438,2021-상반기,ES001,86.3
E00679,2021-상반기,ES001,76.7
E00546,2021-상반기,ES001,61.2
E00429,2021-상반기,ES001,44.7
E00533,2021-상반기,ES001,42.1
E00701,2021-상반기,ES001,43.1
E00706,2021-상반기,ES001,58.0
E00865,2021-상반기,ES001,75.8
E00032,2021-상반기,ES001,58.0
E00754,2021-상반기,ES001,57.0
E00556,2021-상반기,ES001,75.4
E00676,2021-상반기,ES001,54.0
E00480,2021-상반기,ES001,91.1
E00551,2021-상반기,ES001,75.7
E00749,2021-상반기,ES001,74.8
E00662,2021-상반기,ES001,74.2
E00624,2021-상반기,ES001,60.3
E00449,2021-상반기,ES001,53.4
E00972,2021-상반기,ES001,41.9
E00299,2021-상반기,ES001,56.4
E00190,2021-상반기,ES001,46.7
E00472,2021-상반기,ES001,74.9
E00840,2021-상반기,ES001,19.0
E00147,2021-상반기,ES001,33.7
E00534,2021-상반기,ES001,27.0
E00627,2021-상반기,ES001,24.4
E00709,2021-상반기,ES001,81.6
E00167,2021-상반기,ES001,74.9
E00109,2021-상반기,ES001,61.3
E00613,2021-상반기,ES001,34.5
E00347,2021-상반기,ES001,63.8
E00731,2021-상반기,ES001,56.0
E00244,2021-상반기,ES001,42.8
E00685,2021-상반기,ES001,68.0
E00940,2021-상반기,ES001,39.2
E00203,2021-상반기,ES001,50.9
E00723,2021-상반기,ES001,58.9
E00835,2021-상반기,ES001,60.3
E00868,2021-상반기,ES001,51.3
E00574,2021-상반기,ES001,78.0
E00446,2021-상반기,ES001,70.5
E00241,2021-상반기,ES001,27.0
E00666,2021-상반기,ES001,48.0
E00455,2021-상반기,ES001,63.8
E00141,2021-상반기,ES001,69.9
E00100,2021-상반기,ES001,60.0
E00284,2021-상반기,ES001,80.5
E00305,2021-상반기,ES001,77.0
E00158,2021-상반기,ES001,41.5
E00204,2021-상반기,ES001,29.0
E00272,2021-상반기,ES001,66.9
E00492,2021-상반기,ES001,23.5
E00937,2021-상반기,ES001,61.6
E00857,2021-상반기,ES001,86.1
E00228,2021-상반기,ES001,68.4
E00655,2021-상반기,ES001,60.1
E00890,2021-상반기,ES001,67.1
E00315,2021-상반기,ES001,56.7
E00314,2021-상반기,ES001,72.5
E00929,2021-상반기,ES001,89.9
E00365,2021-상반기,ES001,56.9
E00220,2021-상반기,ES001,88.6
E00645,2021-상반기,ES001,85.9
E00279,2021-상반기,ES001,40.9
E00949,2021-상반기,ES001,29.1
E00008,2021-상반기,ES001,31.8
E00806,2021-상반기,ES001,19.8
E00621,2021-상반기,ES001,33.9
E00588,2021-상반기,ES001,71.8
E00238,2021-상반기,ES001,61.9
E00327,2021-상반기,ES001,32.3
E00318,2021-상반기,ES001,54.6
E00256,2021-상반기,ES001,79.2
E00760,2021-상반기,ES001,22.8
E00471,2021-상반기,ES001,78.6
E00851,2021-상반기,ES001,44.9
E00487,2021-상반기,ES001,33.7
E00695,2021-상반기,ES001,75.5
E00672,2021-상반기,ES001,79.4
E00815,2021-상반기,ES001,88.0
E00719,2021-상반기,ES001,68.0
E00642,2021-상반기,ES001,77.1
E00210,2021-상반기,ES001,46.2
E00906,2021-상반기,ES001,38.9
E00682,2021-상반기,ES001,76.2
E00777,2021-상반기,ES001,71.4
E00099,2021-상반기,ES001,94.1
E00637,2021-상반기,ES001,54.9
E00036,2021-상반기,ES001,55.0
E00206,2021-상반기,ES001,46.6
E00178,2021-상반기,ES001,70.3
E00737,2021-상반기,ES001,54.7
E00139,2021-상반기,ES001,85.1
E00714,2021-상반기,ES001,76.8
E00848,2021-상반기,ES001,56.2
E00713,2021-상반기,ES001,70.3
E00529,2021-상반기,ES001,67.8
E00827,2021-상반기,ES001,52.5
E00523,2021-상반기,ES001,33.1
E00842,2021-상반기,ES001,83.0
E00366,2021-상반기,ES001,65.1
E00458,2021-상반기,ES001,75.1
E00464,2021-상반기,ES001,50.0
E00409,2021-상반기,ES001,82.7
E00089,2021-상반기,ES001,56.4
E00876,2021-상반기,ES001,17.0
E00387,2021-상반기,ES001,84.0
E00881,2021-상반기,ES001,30.6
E00539,2021-상반기,ES001,47.7
E00626,2021-상반기,ES001,89.7
E00981,2021-상반기,ES001,85.7
E00582,2021-상반기,ES001,62.9
E00468,2021-상반기,ES010,72.3
E00933,2021-상반기,ES010,73.4
E00870,2021-상반기,ES010,89.5
E00692,2021-상반기,ES010,86.2
E00422,2021-상반기,ES010,67.0
E00568,2021-상반기,ES010,49.5
E00622,2021-상반기,ES010,34.7
E00824,2021-상반기,ES010,48.1
E00384,2021-상반기,ES010,34.3
E00262,2021-상반기,ES010,56.1
E00357,2021-상반기,ES010,97.5
E00253,2021-상반기,ES010,63.1
E00372,2021-상반기,ES010,54.1
E00614,2021-상반기,ES010,58.4
E00083,2021-상반기,ES010,42.1
E00985,2021-상반기,ES010,75.7
E00189,2021-상반기,ES010,99.2
E00537,2021-상반기,ES010,42.7
E00548,2021-상반기,ES010,37.8
E00997,2021-상반기,ES010,98.1
E00443,2021-상반기,ES010,38.7
E00426,2021-상반기,ES010,47.8
E00562,2021-상반기,ES010,45.0
E00117,2021-상반기,ES010,77.4
E00639,2021-상반기,ES010,56.2
E00192,2021-상반기,ES010,64.1
E00128,2021-상반기,ES010,44.7
E00653,2021-상반기,ES010,90.1
E00339,2021-상반기,ES010,54.7
E00892,2021-상반기,ES010,62.5
E00775,2021-상반기,ES010,36.0
E00632,2021-상반기,ES010,63.6
E00535,2021-상반기,ES010,77.9
E00509,2021-상반기,ES010,49.8
E00263,2021-상반기,ES010,63.5
E00168,2021-상반기,ES010,43.3
E00832,2021-상반기,ES010,99.0
E00474,2021-상반기,ES010,41.7
E00132,2021-상반기,ES010,73.2
E00500,2021-상반기,ES010,87.9
E00784,2021-상반기,ES010,68.3
E00166,2021-상반기,ES010,26.5
E00963,2021-상반기,ES010,58.2
E00157,2021-상반기,ES010,87.7
E00020,2021-상반기,ES010,42.5
E00026,2021-상반기,ES010,41.1
E00759,2021-상반기,ES010,73.3
E00331,2021-상반기,ES010,77.2
E00579,2021-상반기,ES010,89.8
E00233,2021-상반기,ES010,89.2
E00816,2021-상반기,ES010,86.1
E00903,2021-상반기,ES010,55.2
E00234,2021-상반기,ES010,24.8
E00293,2021-상반기,ES010,76.4
E00561,2021-상반기,ES010,75.7
E00799,2021-상반기,ES010,64.2
E00954,2021-상반기,ES010,33.0
E00065,2021-상반기,ES010,97.7
E00254,2021-상반기,ES010,58.0
E00718,2021-상반기,ES010,22.7
E00913,2021-상반기,ES010,41.5
E00646,2021-상반기,ES010,100
E00240,2021-상반기,ES010,59.2
E00486,2021-상반기,ES010,91.8
E00717,2021-상반기,ES010,92.0
E00375,2021-상반기,ES010,57.8
E00898,2021-상반기,ES010,63.0
E00298,2021-상반기,ES010,43.9
E00508,2021-상반기,ES010,81.7
E00541,2021-상반기,ES010,40.4
E00180,2021-상반기,ES010,78.6
E00499,2021-상반기,ES010,83.5
E00333,2021-상반기,ES010,61.3
E00736,2021-상반기,ES010,100
E00123,2021-상반기,ES010,42.0
E00811,2021-상반기,ES010,85.1
E00427,2021-상반기,ES010,67.5
E00596,2021-상반기,ES010,100
E00183,2021-상반기,ES010,36.2
E00440,2021-상반기,ES010,45.9
E00900,2021-상반기,ES010,23.2
E00680,2021-상반기,ES010,26.3
E00612,2021-상반기,ES010,45.1
E00022,2021-상반기,ES010,49.0
E00198,2021-상반기,ES010,52.9
E00352,2021-상반기,ES010,70.6
E00478,2021-상반기,ES010,58.8
E00306,2021-상반기,ES010,51.6
E00002,2021-상반기,ES010,100.0
E00688,2021-상반기,ES010,99.9
E00838,2021-상반기,ES010,40.3
E00748,2021-상반기,ES010,80.1
E00062,2021-상반기,ES010,62.9
E00483,2021-상반기,ES010,62.0
E00578,2021-상반기,ES010,66.7
E00893,2021-상반기,ES010,58.7
E00012,2021-상반기,ES010,99.8
E00242,2021-상반기,ES010,88.5
E00291,2021-상반기,ES010,32.5
E00569,2021-상반기,ES010,60.2
E00334,2021-상반기,ES010,91.4
E00555,2021-상반기,ES010,37.2
E00081,2021-상반기,ES010,70.2
E00324,2021-상반기,ES010,86.6
E00995,2021-상반기,ES010,63.5
E00732,2021-상반기,ES010,32.0
E00287,2021-상반기,ES010,55.3
E00745,2021-상반기,ES010,46.6
E00155,2021-상반기,ES010,92.3
E00367,2021-상반기,ES010,42.4
E00790,2021-상반기,ES010,76.2
E00600,2021-상반기,ES010,42.3
E00320,2021-상반기,ES010,50.6
E00518,2021-상반기,ES010,89.2
E00116,2021-상반기,ES010,74.4
E00193,2021-상반기,ES010,48.2
E00053,2021-상반기,ES010,31.8
E00796,2021-상반기,ES010,91.4
E00869,2021-상반기,ES010,42.3
E00730,2021-상반기,ES010,62.1
E00057,2021-상반기,ES010,62.6
E00150,2021-상반기,ES010,53.6
E00304,2021-상반기,ES010,74.9
E00064,2021-상반기,ES010,54.6
E00451,2021-상반기,ES010,87.2
E00001,2021-상반기,ES010,60.7
E00079,2021-상반기,ES010,36.6
E00313,2021-상반기,ES010,92.6
E00576,2021-상반기,ES010,35.0
E00901,2021-상반기,ES010,29.7
E00991,2021-상반기,ES010,84.4
E00841,2021-상반기,ES010,62.1
E00356,2021-상반기,ES010,73.4
E00830,2021-상반기,ES010,66.7
E00813,2021-상반기,ES010,65.5
E00249,2021-상반기,ES010,99.6
E00786,2021-상반기,ES010,31.1
E00648,2021-상반기,ES010,62.0
E00462,2021-상반기,ES010,73.3
E00814,2021-상반기,ES010,90.0
E00048,2021-상반기,ES010,63.3
E00302,2021-상반기,ES010,60.1
E00453,2021-상반기,ES010,81.1
E00355,2021-상반기,ES010,82.9
E00245,2021-상반기,ES010,39.1
E00616,2021-상반기,ES010,26.1
E00024,2021-상반기,ES010,28.2
E00515,2021-상반기,ES010,45.6
E00957,2021-상반기,ES010,35.3
E00223,2021-상반기,ES010,54.7
E00512,2021-상반기,ES010,96.9
E00127,2021-상반기,ES010,71.2
E00015,2021-상반기,ES010,49.9
E00794,2021-상반기,ES010,98.0
E00503,2021-상반기,ES010,94.4
E00322,2021-상반기,ES010,82.7
E00907,2021-상반기,ES010,53.4
E00552,2021-상반기,ES010,38.6
E00703,2021-상반기,ES010,42.9
E00684,2021-상반기,ES010,99.6
E00743,2021-상반기,ES010,87.7
E00879,2021-상반기,ES010,64.1
E00829,2021-상반기,ES010,40.5
E00050,2021-상반기,ES010,91.5
E00753,2021-상반기,ES010,58.2
E00197,2021-상반기,ES010,39.7
E00466,2021-상반기,ES010,80.0
E00660,2021-상반기,ES010,64.1
E00463,2021-상반기,ES010,61.8
E00773,2021-상반기,ES010,50.3
E00532,2021-상반기,ES010,90.2
E00363,2021-상반기,ES010,58.5
E00812,2021-상반기,ES010,39.1
E00976,2021-상반기,ES010,87.7
E00986,2021-상반기,ES010,61.2
E00342,2021-상반기,ES010,55.0
E00826,2021-상반기,ES010,74.2
E00196,2021-상반기,ES010,43.0
E00281,2021-상반기,ES010,34.8
E00927,2021-상반기,ES010,45.4
E00068,2021-상반기,ES010,78.7
E00761,2021-상반기,ES010,84.4
E00860,2021-상반기,ES010,55.4
E00923,2021-상반기,ES010,91.1
E00401,2021-상반기,ES010,13.8
E00114,2021-상반기,ES010,63.6
E00610,2021-상반기,ES010,58.7
E00376,2021-상반기,ES010,41.0
E00056,2021-상반기,ES010,43.5
E00439,2021-상반기,ES010,46.6
E00724,2021-상반기,ES010,87.0
E00960,2021-상반기,ES010,47.0
E00103,2021-상반기,ES010,90.2
E00390,2021-상반기,ES010,70.6
E00845,2021-상반기,ES010,45.6
E00381,2021-상반기,ES010,88.0
E00721,2021-상반기,ES010,55.4
E00609,2021-상반기,ES010,51.9
E00720,2021-상반기,ES010,94.6
E00070,2021-상반기,ES010,91.1
E00402,2021-상반기,ES010,41.4
E00171,2021-상반기,ES010,70.5
E00394,2021-상반기,ES010,51.6
E00780,2021-상반기,ES010,51.6
E00802,2021-상반기,ES010,59.3
