EMP_ID,PAY_YEAR,BASIC_PAY,REGULAR_ALLOWANCE,VARIABLE_PAY,TOTAL_PAY,VARIABLE_PAY_RATIO,YOY_GROWTH
E00019,2026,10766668,403864,0,11170532,0.0,67.97
E00020,2020,69300000,1200000,11909049,82409049,14.45,0.0
E00020,2021,71200008,1200000,17394116,89794124,19.37,9.26
E00020,2022,582259,0,0,582259,0.0,-21.11
E00021,2020,44300016,3088776,8884442,56273234,15.79,0.0
E00021,2021,48200004,3367003,15041738,66608745,22.58,18.69
E00021,2022,50100000,1989595,18689256,70778851,26.41,6.26
E00021,2023,52600008,10187804,19990132,82777944,24.15,16.95
E00021,2024,3666399,0,0,3666399,0.0,-29.71
E00022,2020,61600014,1200000,9401143,72201157,13.02,0.0
E00022,2021,62700012,1200000,18062780,81962792,22.04,13.83
E00022,2022,65700000,2625124,18995822,87320946,21.75,6.54
E00022,2023,69000000,3766663,24345636,97112299,25.07,11.21
E00022,2024,69800004,4136658,20630324,94566986,21.82,-2.89
E00022,2025,13984411,595518,0,14579929,0.0,-20.52
E00023,2020,41400000,5207019,7032432,53639451,13.11,0.0
E00023,2021,41500008,2410307,11750038,55660353,21.11,4.05
E00023,2022,21470970,999335,0,22470305,0.0,-21.2
E00024,2020,58300002,4161415,12535719,74997136,16.71,0.0
E00024,2021,61700004,3697605,22253188,87650797,25.39,17.19
E00024,2022,62300004,2381194,15658334,80339532,19.49,-8.34
E00024,2023,69800004,3595345,22521652,95917001,23.48,19.39
E00024,2024,67010282,3338132,0,70348414,0.0,-16.86
E00025,2025,50000004,3734289,5655003,59389296,9.52,0.0
E00025,2026,9450000,433912,0,9883912,0.0,89.83
E00026,2020,79900002,1200000,16340733,97440735,16.77,0.0
E00026,2021,82500012,1200000,24348490,108048502,22.53,11.19
E00026,2022,90900000,2965136,21159724,115024860,18.4,6.46
E00026,2023,92500008,4129771,26024472,122654251,21.22,6.63
E00026,2024,99700008,16948278,31242334,147890620,21.13,20.25
E00026,2025,4222581,0,1000000,5222581,19.15,-7.68
E00027,2022,25866672,1061076,6585862,33513610,19.65,0.0
E00027,2023,39600000,2461187,13785150,55846337,24.68,15.05
E00027,2024,6408622,400000,0,6808622,0.0,-20.54
E00028,2023,21991669,1868626,9247084,33107379,27.93,0.0
E00028,2024,39200004,2944709,16062310,58207023,27.6,9.52
E00028,2025,41000004,3067002,6994662,51061668,13.7,-12.04
E00028,2026,6933334,457640,0,7390974,0.0,65.1
E00029,2022,3733334,100000,547154,4380488,12.49,0.0
E00029,2023,45100008,4716517,12684122,62500647,20.29,56.36
E00029,2024,46400004,4816391,16107344,67323739,23.93,7.42
E00029,2025,49800000,3093017,5371430,58264447,9.22,-13.22
E00029,2026,8566668,475320,0,9041988,0.0,77.01
E00030,2020,52900002,5398568,9100293,67398863,13.5,0.0
E00030,2021,57400002,1200000,13635878,72235880,18.88,7.47
E00030,2022,58700004,2130393,26384718,87215115,30.25,20.74
E00030,2023,67100004,3915675,28201622,99217301,28.42,13.76
E00030,2024,71600004,3185814,21439662,96225480,22.28,-3.28
E00030,2025,54652784,1600000,0,56252784,0.0,-15.43
E00031,2020,57700008,6687559,12056543,76444110,15.77,0.0
E00031,2021,64000008,3915563,23754366,91669937,25.91,20.25
E00031,2022,69300000,5815239,19079208,94194447,20.26,2.75
E00031,2023,70900008,6499391,27983162,105382561,26.55,11.88
E00031,2024,72800004,9887294,20146462,102833760,19.59,-2.69
E00031,2025,47791936,9934152,0,57726088,0.0,-11.82
E00032,2020,47755568,4844489,11160392,63760449,17.5,0.0
E00032,2021,62400006,5782578,16888830,85071414,19.85,5.28
E00032,2022,49393059,8254509,0,57647568,0.0,-7.71
E00033,2020,48800016,6514526,7349767,62664309,11.73,0.0
E00033,2021,6298414,199877,0,6498291,0.0,-22.54
E00034,2024,19600002,1577075,9556090,30733167,31.09,0.0
E00034,2025,40600008,3166553,10470907,54237468,19.31,-6.68
E00034,2026,7250000,400000,0,7650000,0.0,60.88
E00035,2020,41366678,3263662,9770476,54400816,17.96,0.0
E00035,2021,45500004,2381082,16635920,64517006,25.79,15.02
E00035,2022,48500004,2291210,20859432,71650646,29.11,11.06
E00035,2023,55400004,3321156,24176624,82897784,29.16,15.7
E00035,2024,59200008,3791520,21105766,84097294,25.1,1.17
E00035,2025,61500000,3873777,12740353,78114130,16.31,-6.86
E00035,2026,11433334,428037,0,11861371,0.0,73.2
E00036,2021,25977784,900000,7124880,34002664,20.95,0.0
E00036,2022,35300004,2037822,8307992,45645818,18.2,1.14
E00036,2023,36200004,3036182,13466662,52702848,25.55,15.46
E00036,2024,39100008,3234124,16223774,58557906,27.71,10.81
E00036,2025,40300008,3219524,8005226,51524758,15.54,-11.77
E00036,2026,7700000,440529,0,8140529,0.0,80.21
E00037,2022,19950000,1072529,4993374,26015903,19.19,0.0
E00037,2023,29777784,2427198,0,32204982,0.0,-13.67
E00038,2023,33733337,4294228,12327444,50355009,24.48,0.0
E00038,2024,29956993,6749724,0,36706717,0.0,-6.96
E00039,2020,48900006,3708163,10750755,63358924,16.97,0.0
E00039,2021,53200008,2334194,16561828,72096030,22.97,14.1
E00039,2022,57100008,2166506,15942754,75209268,21.2,4.32
E00039,2023,61900008,3523653,27344318,92767979,29.48,23.35
E00039,2024,69100008,3234831,21275016,93609855,22.73,0.63
E00039,2025,79000008,4357727,13707803,97065538,14.12,3.98
E00039,2026,13866668,400000,0,14266668,0.0,67.65
E00040,2020,39200004,4121251,7213690,50534945,14.27,0.0
E00040,2021,39800016,1333045,10666908,51799969,20.59,2.78
E00040,2022,18880280,500000,0,19380280,0.0,-18.71
E00041,2020,44200008,3284844,7316197,54801049,13.35,0.0
E00041,2021,15901438,494968,1000000,17396406,5.75,-6.3
E00042,2020,49800006,1200000,12240259,63240265,19.36,0.0
E00042,2021,54000000,1200000,16877972,72077972,23.42,14.29
E00042,2022,57300000,2305800,19651122,79256922,24.79,9.96
E00042,2023,63200004,3396662,22687436,89284102,25.41,12.65
E00042,2024,66500004,3855733,25284368,95640105,26.44,6.83
E00042,2025,74267742,15408475,1000000,90676217,1.1,-2.8
E00044,2022,50600000,3601441,17813308,72014749,24.74,0.0
E00044,2023,59400000,5968743,21892724,87261467,25.09,17.52
E00044,2024,61400004,6089648,18603048,86092700,21.61,-1.61
E00044,2025,63100008,5017270,16923205,85040483,19.9,-0.95
E00044,2026,11600000,419427,0,12019427,0.0,61.21
E00045,2023,22458338,1524346,8509268,32491952,26.19,0.0
E00045,2024,33465282,2625278,0,36090560,0.0,-15.44
E00046,2025,14875000,1239150,3584725,19698875,18.2,0.0
E00046,2026,6150000,442668,0,6592668,0.0,67.34
E00047,2023,41900004,4733973,10690912,57324889,18.65,0.0
E00047,2024,45300000,4570274,13875410,63745684,21.77,10.9
E00047,2025,48700008,4983569,14137821,67821398,20.85,6.69
E00047,2026,8583334,422589,0,9005923,0.0,51.46
E00048,2020,45900000,1402234,8429842,55732076,15.13,0.0
E00048,2021,18853052,400000,0,19253052,0.0,-5.64
E00049,2023,16541670,1216873,4719549,22478092,21.0,0.0
E00049,2024,40100004,3689920,11889746,55679670,21.35,10.32
E00049,2025,42700008,3064018,6185203,51949229,11.91,-6.44
E00049,2026,7633334,400000,0,8033334,0.0,76.38
E00050,2020,69600006,1200000,11083409,81883415,13.54,0.0
E00050,2021,74900016,1200000,25555920,101655936,25.14,24.49
E00050,2022,75300000,1548280,17449304,94297584,18.5,-7.24
E00050,2023,45462368,1400000,0,46862368,0.0,-17.17
E00051,2023,21500004,2449946,5257010,29206960,18.0,0.0
E00051,2024,45200004,5585121,11314856,62099981,18.22,16.77
E00051,2025,49300008,5617529,6900005,61817542,11.16,-0.18
E00051,2026,8366668,400000,0,8766668,0.0,61.76
E00052,2022,46250000,3818076,12906440,62974516,20.49,0.0
E00052,2023,57000000,4912398,30235970,92148368,32.81,26.68
E00052,2024,61300008,3667322,22564362,87531692,25.78,-5.27
E00052,2025,65900004,3912844,10221552,80034400,12.77,-8.31
E00052,2026,11816668,400000,0,12216668,0.0,74.11
E00053,2020,59400000,6099249,9482728,74981977,12.65,0.0
E00053,2021,62400006,2914270,18464802,83779078,22.04,12.04
E00053,2022,69700008,2553473,18747956,91001437,20.6,8.62
E00053,2023,72300000,3688616,19782446,95771062,20.66,5.24
E00053,2024,76100004,4034734,33230618,113365356,29.31,18.05
E00053,2025,84400008,3759587,15331610,103491205,14.81,-8.46
E00053,2026,14700000,400000,0,15100000,0.0,66.42
E00054,2024,35250000,3478819,12574172,51302991,24.51,0.0
E00054,2025,44600004,4776688,6443398,55820090,11.54,-6.7
E00054,2026,8400000,553232,0,8953232,0.0,82.95
E00055,2023,23391669,1869280,9338852,34599801,26.99,0.0
E00055,2024,40400004,3134978,12638752,56173734,22.5,6.46
E00055,2025,43700004,3145794,8897462,55743260,15.96,-0.49
E00055,2026,7366668,451991,0,7818659,0.0,59.99
E00056,2020,53400006,6524314,12538540,72462860,17.3,0.0
E00056,2021,55500012,5421084,16488098,77409194,21.3,7.12
E00056,2022,60000000,4907626,17607858,82515484,21.34,6.6
E00056,2023,62300004,5503888,31075656,98879548,31.43,19.83
E00056,2024,71600004,6343338,30387842,108331184,28.05,9.26
E00056,2025,76400004,6698337,18331621,101429962,18.07,-6.11
E00056,2026,13516668,585938,0,14102606,0.0,58.59
E00057,2020,66400002,6312325,13970552,86682879,16.12,0.0
E00057,2021,73600002,10757344,18463132,102820478,17.96,18.94
E00057,2022,4295700,0,0,4295700,0.0,-23.75
E00058,2020,35887110,1593302,0,37480412,0.0,0.0
E00059,2020,42300000,4740212,9761274,56801486,17.18,0.0
E00059,2021,45500004,3807183,11339428,60646615,18.7,7.06
E00059,2022,10825540,400722,0,11226262,0.0,-8.7
E00060,2020,75300012,6575303,16793001,98668316,17.02,0.0
E00060,2021,78300000,4429816,35320000,118049816,29.92,19.97
E00060,2022,87100008,11638385,33928908,132667301,25.57,12.38
E00060,2023,29581391,4312833,0,33894224,0.0,-14.45
E00061,2025,45150003,2470314,6878261,54498578,12.62,0.0
E00061,2026,10633334,445155,0,11078489,0.0,93.12
E00062,2020,76200012,6328654,15517558,98046224,15.83,0.0
E00062,2021,87500016,4797397,23297026,115594439,20.15,18.22
E00062,2022,91500000,2604639,25744972,119849611,21.48,3.68
E00062,2023,100500000,4983647,33682426,139166073,24.2,16.12
E00062,2024,95980646,4092993,0,100073639,0.0,-21.88
E00063,2025,13466668,882157,3206553,17555378,18.27,0.0
E00063,2026,6900000,422699,0,7322699,0.0,68.15
E00064,2020,51900012,6013432,12839043,70752487,18.15,0.0
E00064,2021,21871116,2432506,0,24303622,0.0,-19.92
E00065,2020,74800008,7471915,14051582,96323505,14.59,0.0
E00065,2021,79600014,3590972,31516788,114707774,27.48,19.41
E00065,2022,90200004,3141216,32624626,125965846,25.9,9.81
E00065,2023,99500004,4007794,34966056,138473854,25.25,9.93
E00065,2024,101200008,4197642,31899382,137297032,23.23,-1.12
E00065,2025,104545169,2200000,1000000,107745169,0.93,-16.51
E00066,2024,33916670,4224595,8358176,46499441,17.97,0.0
E00066,2025,42900000,5275809,5636549,53812358,10.47,3.04
E00066,2026,7366668,400000,0,7766668,0.0,64.62
E00067,2024,37666670,3724356,12298364,53689390,22.91,0.0
E00067,2025,46000008,2541692,6862754,55404454,12.39,-8.68
E00067,2026,3256990,200000,0,3456990,0.0,-12.41
E00068,2020,72900000,8465142,14960940,96326082,15.53,0.0
E00068,2021,76400010,4004171,26959994,107364175,25.11,11.76
E00068,2022,81200004,5497244,27891610,114588858,24.34,6.73
E00068,2023,90100008,7711665,36668512,134480185,27.27,17.36
E00068,2024,97300008,7525927,33067888,137893823,23.98,2.26
E00068,2025,107800008,7765361,20590486,136155855,15.12,-0.99
E00068,2026,18383334,400000,0,18783334,0.0,57.35
E00069,2022,37308337,3468087,9674680,50451104,19.18,0.0
E00069,2023,41500008,3239814,10227454,54967276,18.61,-0.3
E00069,2024,21400540,1200000,0,22600540,0.0,-19.31
E00070,2020,50100012,4576785,11672955,66349752,17.59,0.0
E00070,2021,53500014,2794410,22949402,79243826,28.96,19.76
E00070,2022,60100008,3944482,18584288,82628778,22.49,4.27
E00070,2023,62600004,5112641,27786716,95499361,29.1,15.58
E00070,2024,66000000,3896069,20483240,90379309,22.66,-5.62
E00070,2025,72300000,4006444,12700798,89007242,14.27,-1.25
E00070,2026,12566668,400000,0,12966668,0.0,66.17
E00071,2020,40500000,2501703,8581177,51582880,16.64,0.0
E00071,2021,42100002,3068622,17178242,62346866,27.55,21.2
E00071,2022,45800004,1979335,13701226,61480565,22.29,-1.39
E00071,2023,49000008,3153684,20305052,72458744,28.02,17.86
E00071,2024,53100000,3545464,21005064,77650528,27.05,6.87
E00071,2025,57300000,3570343,15990944,76861287,20.8,-0.75
E00071,2026,10600000,426627,0,11026627,0.0,63.64
E00072,2021,14766672,637288,2425938,17829898,13.61,0.0
E00072,2022,44900004,1939399,12735606,59575009,21.38,35.48
E00072,2023,46800000,3226689,21016374,71043063,29.58,19.25
E00072,2024,48000000,7067848,13203382,68271230,19.34,-4.16
E00072,2025,22732782,5010072,0,27742854,0.0,-10.94
E00073,2020,56700000,4977299,13394070,75071369,17.84,0.0
E00073,2021,60300000,2853128,25397144,88550272,28.68,18.28
E00073,2022,68800008,2483184,15845202,87128394,18.19,-1.61
E00073,2023,70300008,4328537,23205012,97833557,23.72,12.29
E00073,2024,3464517,0,0,3464517,0.0,-28.19
E00074,2022,14433336,534669,2326147,17294152,13.45,0.0
E00074,2023,45000000,3499913,11843386,60343299,19.63,39.57
E00074,2024,46900008,3148980,11796562,61845550,19.07,2.21
E00074,2025,50500008,3136981,6410784,60047773,10.68,-2.64
E00074,2026,9433334,400000,0,9833334,0.0,86.79
E00076,2020,43500006,3927911,9037539,56465456,16.01,0.0
E00076,2021,47000016,2441598,15825658,65267272,24.25,15.9
E00076,2022,49400004,2012999,15574088,66987091,23.25,2.64
E00076,2023,52800000,3486864,25639406,81926270,31.3,22.3
E00076,2024,55800000,3550278,22143016,81493294,27.17,-0.8
E00076,2025,61700004,3293673,11697307,76690984,15.25,-5.64
E00076,2026,10933334,438582,0,11371916,0.0,69.13
E00077,2025,35058338,2986421,8712336,46757095,18.63,0.0
E00077,2026,10483334,400000,0,10883334,0.0,59.3
E00078,2021,6066668,154791,944253,7165712,13.18,0.0
E00078,2022,54900000,4299628,12863296,72062924,17.85,43.27
E00078,2023,61600008,9964690,21944654,93509352,23.47,29.76
E00078,2024,19900559,2959468,0,22860027,0.0,-21.73
E00079,2020,66400002,1200000,14640921,82240923,17.8,0.0
E00079,2021,68600016,1200000,21635198,91435214,23.66,11.48
E00079,2022,76400004,2684315,21644512,100728831,21.49,10.16
E00079,2023,81200004,3719366,20493682,105413052,19.44,4.65
E00079,2024,680646,0,0,680646,0.0,-21.44
E00080,2022,5700000,223300,0,5923300,0.0,0.0
E00081,2020,52800012,4458111,8160080,65418203,12.47,0.0
E00081,2021,55100016,2101894,20571888,77773798,26.45,19.21
E00081,2022,61400004,2178672,26825914,90404590,29.67,16.24
E00081,2023,63600000,3551939,17404132,84556071,20.58,-6.47
E00081,2024,67900008,3542526,22445882,93888416,23.91,10.73
E00081,2025,72500004,3970431,17926172,94396607,18.99,0.82
E00081,2026,13300000,475571,0,13775571,0.0,66.45
E00082,2020,44500014,1200000,7688480,53388494,14.4,0.0
E00082,2021,46500012,2783345,16249630,65532987,24.8,23.08
E00082,2022,49600008,1880829,13494292,64975129,20.77,-0.85
E00082,2023,50400000,3512819,15438686,69351505,22.26,6.74
E00082,2024,51300000,3453438,12456508,67209946,18.53,-3.35
E00082,2025,53300004,3120446,7546775,63967225,11.8,-4.56
E00082,2026,9366668,400000,0,9766668,0.0,74.15
E00083,2020,84200004,5587435,15065966,104853405,14.37,0.0
E00083,2021,90100008,4231204,21787048,116118260,18.76,11.05
E00083,2022,93300000,2328123,21693120,117321243,18.49,1.04
E00083,2023,45458891,1000000,0,46458891,0.0,-11.87
E00086,2020,28324079,1381829,0,29705908,0.0,0.0
E00087,2023,62333337,3281851,27598346,93213534,29.61,0.0
E00087,2024,70400004,3670217,22936188,97006409,23.64,-1.9
E00087,2025,74700000,3764158,13923407,92387565,15.07,-4.5
E00087,2026,13383334,400000,0,13783334,0.0,70.17
E00088,2022,27083340,1403999,11252834,39740173,28.32,0.0
E00088,2023,35400000,3232907,13986346,52619253,26.58,13.54
E00088,2024,38500008,4583300,11724426,54807734,21.39,3.87
E00088,2025,43300008,5253910,8805503,57359421,15.35,4.94
E00088,2026,7483334,489068,0,7972402,0.0,58.54
E00089,2021,38194453,2279026,11354744,51828223,21.91,0.0
E00089,2022,65700000,5703272,21473126,92876398,23.12,6.05
E00089,2023,70000008,6113099,34254502,110367609,31.04,18.83
E00089,2024,78800004,9245114,18260884,106306002,17.18,-3.94
E00089,2025,90200004,9027454,10642974,109870432,9.69,3.64
E00089,2026,15566668,400000,0,15966668,0.0,65.76
E00091,2021,14751667,300000,0,15051667,0.0,0.0
E00092,2020,43500006,3496803,6870718,53867527,12.75,0.0
E00092,2021,46300014,2037871,11925396,60263281,19.79,12.18
E00092,2022,49600008,1824464,14638132,66062604,22.16,9.62
E00092,2023,55400004,3057730,24032638,82490372,29.13,24.87
E00092,2024,60300000,3102688,19642044,83044732,23.65,0.4
E00092,2025,69000000,3878086,10258213,83136299,12.34,0.38
E00092,2026,11983334,400000,0,12383334,0.0,69.9
E00095,2020,48500010,2615656,8403335,59519001,14.12,0.0
E00095,2021,49000014,2563290,16294368,67857672,24.01,14.32
E00095,2022,53900004,2350901,17177302,73428207,23.39,8.21
E00095,2023,58700004,3489553,24275264,86464821,28.08,17.75
E00095,2024,67100004,3793270,18765950,89659224,20.93,3.41
E00095,2025,73600008,4317832,10625389,88543229,12.0,-0.97
E00095,2026,12416668,400000,0,12816668,0.0,65.11
E00096,2025,31000000,2652285,6399143,40051428,15.98,0.0
E00096,2026,6416668,400000,0,6816668,0.0,67.01
E00097,2022,8050000,373813,1741417,10165230,17.13,0.0
E00097,2023,49000008,3279703,13680086,65959797,20.74,56.44
E00097,2024,52000008,3534673,12635024,68169705,18.53,3.07
E00097,2025,54400008,3313195,6301780,64014983,9.84,-5.84
E00097,2026,9783334,448568,0,10231902,0.0,82.31
E00099,2021,33911122,900000,12598076,47409198,26.57,0.0
E00099,2022,44500008,1813503,13970252,60283763,23.17,-3.5
E00099,2023,45100008,3202948,23131238,71434194,32.38,18.5
E00099,2024,49500000,3169256,17806762,70476018,25.27,-1.61
E00099,2025,30384951,1558973,1000000,32943924,3.04,-11.81
E00100,2020,11500000,1248082,2172766,14920848,14.56,0.0
E00100,2021,42300000,2511453,12417078,57228531,21.7,26.1
E00100,2022,43900008,2307571,15684372,61891951,25.34,8.15
E00100,2023,48600000,3265233,21198966,73064199,29.01,18.05
E00100,2024,51700008,9847347,18503970,80051325,23.12,9.26
E00100,2025,9264882,1304978,1000000,11569860,8.64,-8.8
E00102,2020,13386668,397745,0,13784413,0.0,0.0
E00103,2020,48200004,5618568,8569381,62387953,13.74,0.0
E00103,2021,53300016,2649390,18332414,74281820,24.68,19.39
E00103,2022,57600000,4282176,20543964,82426140,24.92,10.96
E00103,2023,62900004,6065444,35450000,104415448,33.95,26.68
E00103,2024,16866667,1420403,0,18287070,0.0,-31.26
E00105,2024,50800008,3550545,22335006,76685559,29.13,0.0
E00105,2025,56100000,3399900,14157706,73657606,19.22,-3.69
E00105,2026,9933334,414853,0,10348187,0.0,60.25
E00106,2025,40516674,2805388,8437781,51759843,16.3,0.0
E00106,2026,8100000,400000,0,8500000,0.0,72.94
E00109,2020,20500002,1822054,4713775,27035831,17.44,0.0
E00109,2021,42600006,2253797,12643542,57497345,21.99,14.78
E00109,2022,45100008,2105001,11000858,58205867,18.9,1.23
E00109,2023,45600000,3138195,15689110,64427305,24.35,10.69
E00109,2024,20217224,2204233,0,22421457,0.0,-16.98
E00110,2020,43800012,5384694,8167983,57352689,14.24,0.0
E00110,2021,44900010,5767316,11517086,62184412,18.52,8.72
E00110,2022,19125000,3228221,0,22353221,0.0,-13.11
E00111,2020,14158070,400000,0,14558070,0.0,0.0
E00112,2020,34000002,4131484,6358650,44490136,14.29,0.0
E00112,2021,35000010,2955903,10723700,48679613,22.03,9.72
E00112,2022,37000008,3127362,16351576,56478946,28.95,16.02
E00112,2023,40300008,4674840,13301086,58275934,22.82,3.18
E00112,2024,40800000,4741786,12408564,57950350,21.41,-0.83
E00112,2025,10161291,1042401,0,11203692,0.0,-18.67
E00113,2024,44825000,5509465,19077892,69412357,27.48,0.0
E00113,2025,50300004,4756252,11716024,66772280,17.55,-6.7
E00113,2026,9016668,400000,0,9416668,0.0,60.86
E00114,2020,72400014,5634766,12375595,90410375,13.69,0.0
E00114,2021,80700012,5741394,23647662,110089068,21.48,22.1
E00114,2022,84200004,5434402,21521898,111156304,19.36,0.97
E00114,2023,86200008,7498942,39010332,132709282,29.4,19.39
E00114,2024,96500004,7858931,32456398,136815333,23.72,2.81
E00114,2025,108200004,8437728,13016542,129654274,10.04,-4.97
E00114,2026,19133334,400000,0,19533334,0.0,71.84
E00116,2020,59300010,4232808,10477550,74010368,14.16,0.0
E00116,2021,64200006,3220049,19606000,87026055,22.53,17.91
E00116,2022,67000008,2935145,20075044,90010197,22.3,3.43
E00116,2023,69900000,3861840,36208792,109970632,32.93,22.18
E00116,2024,73500000,4159159,32426902,110086061,29.46,-0.17
E00116,2025,83800008,3609592,19254248,106663848,18.05,-2.84
E00116,2026,14100000,405904,0,14505904,0.0,55.12
E00117,2020,83400012,8965416,20327097,112692525,18.04,0.0
E00117,2021,93100014,7301007,29709460,130110481,22.83,15.77
E00117,2022,98300004,6963956,28301612,133565572,21.19,2.66
E00117,2023,101400000,9422870,37906352,148729222,25.49,11.35
E00117,2024,102600000,8438322,37752958,148791280,25.37,-0.23
E00117,2025,109400004,10050402,28173112,147623518,19.08,-0.51
E00117,2026,18916668,584796,0,19501464,0.0,50.68
E00118,2024,10625001,938357,1512679,13076037,11.57,0.0
E00118,2025,42700008,4770876,5407268,52878152,10.23,25.19
E00118,2026,7400000,400000,0,7800000,0.0,68.25
E00119,2020,33900012,1200000,7282934,42382946,17.18,0.0
E00119,2021,37600002,1200000,13699634,52499636,26.09,24.21
E00119,2022,40900008,2019482,13610718,56530208,24.08,7.68
E00119,2023,45000000,3204749,19786286,67991035,29.1,20.27
E00119,2024,47700000,3426608,19067868,70194476,27.16,2.96
E00119,2025,52700004,3336660,7976629,64013293,12.46,-8.56
E00119,2026,9333334,400000,0,9733334,0.0,73.43
E00120,2024,0,0,2000000,2000000,100.0,0.0
E00120,2025,39800004,3225244,8099266,51124514,15.84,-57.98
E00120,2026,7333334,412281,0,7745615,0.0,72.81
E00121,2020,39800016,1200000,8395451,49395467,17.0,0.0
E00121,2021,40900014,1200000,10923226,53023240,20.6,7.64
E00121,2022,43100004,1812254,11581392,56493650,20.5,6.55
E00121,2023,44600004,3216734,14553210,62369948,23.33,10.4
E00121,2024,45400008,3156258,13866184,62422450,22.21,-0.19
E00121,2025,49400004,3158833,9831715,62390552,15.76,0.22
E00121,2026,9200000,400551,0,9600551,0.0,75.52
E00122,2022,22666672,1251792,5955822,29874286,19.94,0.0
E00122,2023,34400004,3077281,15673412,53150697,29.49,27.22
E00122,2024,37000008,2942915,12250822,52193745,23.47,-2.07
E00122,2025,38500008,3074297,9799332,51373637,19.07,-1.3
E00122,2026,6700000,400000,0,7100000,0.0,57.64
E00123,2020,57800016,1200000,9657945,68657961,14.07,0.0
E00123,2021,34535491,600000,0,35135491,0.0,-8.63
E00124,2023,3558334,200000,1096713,4855047,22.59,0.0
E00124,2024,42800004,8595390,14432770,65828164,21.92,107.46
E00124,2025,8729841,1707394,0,10437235,0.0,-19.4
E00125,2025,4091667,203916,1558008,5853591,26.62,0.0
